cleanup_name,location_address,city_name,state_code,postal_code,county_name,epa_id,brownfields_link_csv,rcra_csv,superfund_link_csv,echo_link_csv,response_link_csv,re_powering_csv,frs_link_csv,map_site_csv,geometry,geoid,INTPTLAT,INTPTLON
BLUFFTON LANDFILL,STATE HIGHWAY 46,BLUFFTON,SC,29910,BEAUFORT,,"https://ofmpub.epa.gov/apex/cimc/f?p=100:31::::31,0:P31_ID:58881",,,,,https://ofmpub.epa.gov/apex/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE:30827,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110038758546,https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:32.268 -80.889,-80.9123011|32.2301949,45013002106,+32.2494167,-080.9091717
BLULAND LLC,"MAYNARD STREET, GREENE STREE, AND GODFREY STREET",CHERAW,SC,29520,,,"https://ofmpub.epa.gov/apex/cimc/f?p=100:31::::31,0:P31_ID:210542",,,,,https://ofmpub.epa.gov/apex/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE:33626,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070164157,https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:34.690772 -79.882982,-79.88343199|34.69119055,45025950600,+34.5951251,-079.8967144
BOBBY JONES GROC,302 YORK ST,CAMDEN,SC,29020,KERSHAW,,"https://ofmpub.epa.gov/apex/cimc/f?p=100:31::::31,0:P31_ID:22604",,,,,https://ofmpub.epa.gov/apex/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE:30541,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110017041887,https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:34.24161 -80.60075,-80.600624|34.24163,45055970800,+34.2226390,-080.5951484
BOMAR AVENUE DUMP,788 PROVIDENCE RD,ORANGEBURG,SC,29118,ORANGEBURG,,"https://ofmpub.epa.gov/apex/cimc/f?p=100:31::::31,0:P31_ID:12472",,,,,https://ofmpub.epa.gov/apex/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE:30145,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110039536794,https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:33.620685 -80.950561,-80.952705|33.612167,45075010900,+33.5692930,-080.9216953
BOOZER LUMBER COMPANY,1400 ATLAS ROAD,COLUMBIA,SC,29209,RICHLAND,,"https://ofmpub.epa.gov/apex/cimc/f?p=100:31::::31,0:P31_ID:111153",,,,,https://ofmpub.epa.gov/apex/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE:32027,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110002371380,https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:33.95475 -80.95699,-80.95825|33.95359,45079011702,+33.9347890,-080.9620891
BRENNAN BUILDING,1210-1214 MAIN STREET,COLUMBIA,SC,29201,RICHLAND,,"https://ofmpub.epa.gov/apex/cimc/f?p=100:31::::31,0:P31_ID:123224",,,,,https://ofmpub.epa.gov/apex/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE:32225,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110043637400,https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:34.00176 -81.03378,-81.03362|34.001507,45079003100,+34.0078902,-081.0307786
BRINKLEY STATION,BRINKLEY STREET,JACKSON,SC,29831,AIKEN COUNTY,,"https://ofmpub.epa.gov/apex/cimc/f?p=100:31::::31,0:P31_ID:163625",,,,,https://ofmpub.epa.gov/apex/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE:33044,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110056253290,https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:33.324127 -81.781883,-81.782082|33.323977,45003022100,+33.3147374,-081.8384557
BROAD ST. PARKING GARAGE,300 E. MCBEE AVE.,GREENVILLE,SC,29601,GREENVILLE,,"https://ofmpub.epa.gov/apex/cimc/f?p=100:31::::31,0:P31_ID:206785",,,,,https://ofmpub.epa.gov/apex/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE:,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070247863,https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:34.84897 -82.39738,-82.3975977|34.848592,45045000200,+34.8478319,-082.3974862
BROWN PARK,30 TOTE ROAD,CHERAW,SC,29520,,,"https://ofmpub.epa.gov/apex/cimc/f?p=100:31::::31,0:P31_ID:210521",,,,,https://ofmpub.epa.gov/apex/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE:33625,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070164156,https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:34.689338 -79.879329,-79.87887|34.688736,45025950600,+34.5951251,-079.8967144
BUCKEYE TERMINALS LLC CHARLESTON NORTH TERMINAL,5150 VIRGINIA AVENUE,NORTH CHARLESTON,SC,29405,CHARLESTON,,"https://ofmpub.epa.gov/apex/cimc/f?p=100:31::::31,0:P31_ID:150021",,,,,https://ofmpub.epa.gov/apex/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE:32866,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110006180827,https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:32.88855 -79.97283,-79.97284|32.88923,45019003400,+32.8958105,-079.9746618
BUCKS GROCERY,1337 RED HILL RD,CAMDEN,SC,29020,KERSHAW,,"https://ofmpub.epa.gov/apex/cimc/f?p=100:31::::31,0:P31_ID:22421",,,,,https://ofmpub.epa.gov/apex/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE:30534,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110017195667,https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:34.18668 -80.47592,-80.47572258|34.18758685,45055970700,+34.1764818,-080.5520579
BUFFALO MILL,109 MILL STREET,BUFFALO,SC,29321,UNION,,"https://ofmpub.epa.gov/apex/cimc/f?p=100:31::::31,0:P31_ID:208101",,,,,https://ofmpub.epa.gov/apex/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE:33604,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110067367156,https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:34.72173 -81.67854,-81.67853|34.72215,45087030400,+34.7566760,-081.6377010
BUSH RECYCLING,102 WEST SUMTER STREET,FLORENCE,SC,29501,FLORENCE,,"https://ofmpub.epa.gov/apex/cimc/f?p=100:31::::31,0:P31_ID:15416",,,,,https://ofmpub.epa.gov/apex/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE:30447,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110038702543,https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:34.20327 -79.76776,-79.76727|34.203285,45041000900,+34.2077622,-079.7859632
C E PHILLIPS FARMS,1165 PLEASANT GROVE RD,LYNCHBURG,SC,29080,LEE,,"https://ofmpub.epa.gov/apex/cimc/f?p=100:31::::31,0:P31_ID:126122",,,,,https://ofmpub.epa.gov/apex/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE:32345,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110046425203,https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:33.993865 -80.045686,-80.04569|33.99399,45085000500,+33.9541683,-080.0572590
C H RAGSDALES GROCERY,GRANITE RD SR 12,BLAIR,SC,29015,FAIRFIELD,,"https://ofmpub.epa.gov/apex/cimc/f?p=100:31::::31,0:P31_ID:25302",,,,,https://ofmpub.epa.gov/apex/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE:30551,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110017150107,https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:34.41799 -81.40317,-81.3996492|34.418392,45039960100,+34.4273558,-081.3174179
C&C GARAGE,2 COURT ST W,GREENVILLE,SC,29601,GREENVILLE,,"https://ofmpub.epa.gov/apex/cimc/f?p=100:31::::31,0:P31_ID:14781",,,,,https://ofmpub.epa.gov/apex/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE:30423,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110061025260,https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:34.89938 -82.33166,-82.40009999|34.84803481,45045000200,+34.8478319,-082.3974862
CAMPBELLS SERVICE,317 MAIN ST,JACKSON,SC,29831,AIKEN,,"https://ofmpub.epa.gov/apex/cimc/f?p=100:31::::31,0:P31_ID:16073",,,,,https://ofmpub.epa.gov/apex/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE:30463,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110017145695,https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:33.327565 -81.791759,-81.79045927|33.32666345,45003022100,+33.3147374,-081.8384557
CANNON ROOFING PROPERTY,327 KENNEDY ST,SPARTANBURG,SC,29302,SPARTANBURG,,"https://ofmpub.epa.gov/apex/cimc/f?p=100:31::::31,0:P31_ID:115383",,,,,https://ofmpub.epa.gov/apex/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE:32102,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110017012757,https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:34.94905 -81.92389,-81.92379|34.94907,45083021200,+34.9509248,-081.9167596
CAROLINA MILLING PROPERTY,200 SOUTH STREET,LAURENS,SC,29360,LAURENS,,"https://ofmpub.epa.gov/apex/cimc/f?p=100:31::::31,0:P31_ID:11964",,,,,https://ofmpub.epa.gov/apex/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE:30101,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110039555111,https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:34.49823 -82.01362,-82.014513|34.498113,45059920400,+34.4928213,-082.0269534
CARRIAGE HOUSE,198 FLORIDA STREET,CLINTON,SC,29325,LAURENS,,"https://ofmpub.epa.gov/apex/cimc/f?p=100:31::::31,0:P31_ID:239150",,,,,https://ofmpub.epa.gov/apex/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE:,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070556168,https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:34.47512 -81.87989,-81.88132|34.475105,45059920700,+34.4682270,-081.9191816
CARRIGGS SEAFOOD,2118 HERIOT STREET,CHARLESTON,SC,29403,CHARLESTON,,"https://ofmpub.epa.gov/apex/cimc/f?p=100:31::::31,0:P31_ID:11845",,,,,https://ofmpub.epa.gov/apex/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE:30094,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110015361339,https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:32.81612 -79.95246,-79.95244|32.8161,45019004400,+32.8305580,-079.9619676
CENTRAL CONCRETE & PLASTER,211 E MAIN STREET,CENTRAL,SC,29630,PICKENS,,"https://ofmpub.epa.gov/apex/cimc/f?p=100:31::::31,0:P31_ID:229541",,,,,https://ofmpub.epa.gov/apex/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE:33859,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070057738,https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:34.72506 -82.77792,-81.84473749|34.9913016,45083022201,+34.9833807,-081.8364339
CENTRAL GARAGE,704 W MAIN ST,CENTRAL,SC,29630,PICKENS,,"https://ofmpub.epa.gov/apex/cimc/f?p=100:31::::31,0:P31_ID:229321",,,,,https://ofmpub.epa.gov/apex/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE:33852,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110016983610,https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:34.72161 -82.785,-82.78484|34.721817,45077011102,+34.7109098,-082.7563613
CENTRAL LAUNDROMAT,703 W MAIN STREET,CENTRAL,SC,29630,PICKENS,,"https://ofmpub.epa.gov/apex/cimc/f?p=100:31::::31,0:P31_ID:229542",,,,,https://ofmpub.epa.gov/apex/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE:33860,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070057672,https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:34.72161 -82.785,-82.7918186|34.7103951,45077011102,+34.7109098,-082.7563613
CENTRAL ROLLER MILL,300 MADDEN BRIDGE ROAD,CENTRAL,SC,29630,PICKENS,,"https://ofmpub.epa.gov/apex/cimc/f?p=100:31::::31,0:P31_ID:239730",,,,,https://ofmpub.epa.gov/apex/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE:,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070629028,https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:34.72444 -82.78464,-82.798065|34.723137,45077011101,+34.7346996,-082.8081851
CERTAINTEED,2900 BIRD STREET,NORTH CHARLESTON,SC,29405,CHARLESTON,,"https://ofmpub.epa.gov/apex/cimc/f?p=100:31::::31,0:P31_ID:172821",,,,,https://ofmpub.epa.gov/apex/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE:,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110017203523,https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:32.84162 -80.00901,-80.0087|32.84212,45019003900,+32.8491452,-080.0158790
CHARLESTON COUNTY LANDFILL,788 PROVIDENCE RD,ORANGEBURG,SC,29118,CHARLESTON,,"https://ofmpub.epa.gov/apex/cimc/f?p=100:31::::31,0:P31_ID:11843",,,,,https://ofmpub.epa.gov/apex/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE:30092,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110039547773,https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:33.620685 -80.950561,-80.952705|33.612167,45075010900,+33.5692930,-080.9216953
CHARLESTON OIL CO INC,1553 KING ST EXT,CHARLESTON,SC,29405,CHARLESTON,,"https://ofmpub.epa.gov/apex/cimc/f?p=100:31::::31,0:P31_ID:11846",,,,,https://ofmpub.epa.gov/apex/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE:30095,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110020007927,https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:32.8202 -79.95213,-79.95264|32.823868,45019004400,+32.8305580,-079.9619676
CHERAW BI-LO,8 CHESTERFIELD HIGHWAY,CHERAW,SC,29520,CHESTERFIELD,,"https://ofmpub.epa.gov/apex/cimc/f?p=100:31::::31,0:P31_ID:235297",,,,,https://ofmpub.epa.gov/apex/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE:33963,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070164266,https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:34.689834 -79.898066,-79.89803|34.689884,45025950600,+34.5951251,-079.8967144
CHERAW COMMUNITY CENTER,419 2ND STREET,CHERAW,SC,29520,CHESTERFIELD,,"https://ofmpub.epa.gov/apex/cimc/f?p=100:31::::31,0:P31_ID:228147",,,,,https://ofmpub.epa.gov/apex/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE:33838,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070164190,https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:34.703249 -79.887732,-79.887665|34.70316,45025950502,+34.7080062,-079.9249608
CHESTER PAVILION,111 &AMP; 113 COLUMBIA STREET,CHESTER,SC,29706,CHESTER,,"https://ofmpub.epa.gov/apex/cimc/f?p=100:31::::31,0:P31_ID:242160",,,,,https://ofmpub.epa.gov/apex/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE:,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070789881,https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:34.704031 -81.21343,-81.21408017|34.704677,45023020200,+34.7003242,-081.2195686
CHESTERFIELD HIGHWAY TRACT,CHESTERFIELD HIGHWAY,CHERAW,SC,29520,CHESTERFIELD,,"https://ofmpub.epa.gov/apex/cimc/f?p=100:31::::31,0:P31_ID:228146",,,,,https://ofmpub.epa.gov/apex/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE:33837,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070164189,https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:34.697496 -79.94125,-79.934281|34.6996851,45025950502,+34.7080062,-079.9249608
CHEVROLET DEALERSHIP,319 ANN ST,PICKENS,SC,29671,,,"https://ofmpub.epa.gov/apex/cimc/f?p=100:31::::31,0:P31_ID:244477",,,,,,,https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:34.889455 -82.711189,-82.71001|34.888824,45077010402,+34.9027375,-082.7107738
CHICORA TANK FARM PROPERTY,CARNER AVENUE,NORTH CHARLESTON,SC,29405,CHARLESTON,,"https://ofmpub.epa.gov/apex/cimc/f?p=100:31::::31,0:P31_ID:110723",,,,,https://ofmpub.epa.gov/apex/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE:32001,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110043424871,https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:32.848807 -79.966506,-79.9671835|32.8477803,45019004300,+32.8501669,-079.9673955
CHIQUOLA INDUSTRIAL PRODUCTS GROUP LLC,410 CHIQUOLA AVENUE,HONEA PATH,SC,29654,ANDERSON,,"https://ofmpub.epa.gov/apex/cimc/f?p=100:31::::31,0:P31_ID:239928",,,,,https://ofmpub.epa.gov/apex/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE:,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110002198595,https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:34.45151 -82.39215,-82.3922546|34.45121606,45007011500,+34.4662024,-082.4055574
CITY MARKET ARTS & ANTIQUES,"705, 707, & 711 GERVAIS STREET",COLUMBIA,SC,29201,RICHLAND,,"https://ofmpub.epa.gov/apex/cimc/f?p=100:31::::31,0:P31_ID:132401",,,,,https://ofmpub.epa.gov/apex/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE:,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110043638310,https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:33.999244 -81.040797,-81.04083324|34.00062983,45079001600,+34.0035118,-081.0483875
CITY OF LAKE CITY WASTEWATER SITE,265 NORTH CHURCH STREET,LAKE CITY,SC,29560,,,"https://ofmpub.epa.gov/apex/cimc/f?p=100:31::::31,0:P31_ID:232881",,,,,,,https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:33.874814 -79.750525,-79.750496|33.874863,45041002202,+33.8389294,-079.7194929
CITY PARK WETLANDS,MEADOW STREET & TRESCOTT STREET,GREENVILLE,SC,29601,GREENVILLE,,"https://ofmpub.epa.gov/apex/cimc/f?p=100:31::::31,0:P31_ID:227902",,,,,https://ofmpub.epa.gov/apex/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE:,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070247564,https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:,-82.41258|34.85467,45045000700,+34.8504139,-082.4126907
CLEVELAND PARK AND CITY ZOO,103 CLEVELAND PARK DRIVE,GREENVILLE,SC,29607,GREENVILLE COUNTY,,"https://ofmpub.epa.gov/apex/cimc/f?p=100:31::::31,0:P31_ID:225741",,,,,https://ofmpub.epa.gov/apex/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE:33798,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070004571,https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:34.846398 -82.387123,-82.38777|34.846016,45045004200,+34.8345704,-082.3904774
CLEVELAND PARK STABLES,130 WOODLAND WAY,GREENVILLE,SC,29607,GREENVILLE COUNTY,,"https://ofmpub.epa.gov/apex/cimc/f?p=100:31::::31,0:P31_ID:225621",,,,,https://ofmpub.epa.gov/apex/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE:33795,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070004642,https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:34.84103 -82.38586,-82.386311|34.840977,45045004200,+34.8345704,-082.3904774
CMMC - BUILDING 13,PIPEFITTER STREET,NORTH CHARLESTON,SC,29405,CHARLESTON,,"https://ofmpub.epa.gov/apex/cimc/f?p=100:31::::31,0:P31_ID:163961",,,,,https://ofmpub.epa.gov/apex/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE:33046,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110059721305,https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:32.86089 -79.96538,-79.9653275|32.8609697,45019005500,+32.8532338,-079.9554747
COASTAL LUMBER,1857 BELLS HWY,WALTERBORO,SC,29488,COLLETON,,"https://ofmpub.epa.gov/apex/cimc/f?p=100:31::::31,0:P31_ID:238465",,,,,https://ofmpub.epa.gov/apex/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE:,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110002233529,https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:32.931396 -80.691714,-80.6894036|32.9298855,45029970500,+32.9053462,-080.6718142
COKER COLLEGE PROPERTY,115 COKER AVENUE AND 411 BYERLEY AVENUE,HARTSVILLE,SC,29550,DARLINGTON,,"https://ofmpub.epa.gov/apex/cimc/f?p=100:31::::31,0:P31_ID:145443",,,,,https://ofmpub.epa.gov/apex/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE:32735,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110046370672,https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:34.374902 -80.067177,-80.0676|34.376102,45031010600,+34.3700380,-080.0231357
COLITE INDUSTRIES,228 PARSON ST.,WEST COLUMBIA,SC,29169,LEXINGTON,,"https://ofmpub.epa.gov/apex/cimc/f?p=100:31::::31,0:P31_ID:111142",,,,,https://ofmpub.epa.gov/apex/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE:32016,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110040823062,https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:33.98826 -81.07738,-81.07688171|33.98608,45063020601,+33.9745750,-081.0894477
COLLETON COUNTY DOWNTOWN PROPERTIES,CORNER OF JEFFRIES BLVD AND BENSEN ST TO WASHINGTO,WALTERBORO,SC,29488,COLLETON,,"https://ofmpub.epa.gov/apex/cimc/f?p=100:31::::31,0:P31_ID:238609",,,,,https://ofmpub.epa.gov/apex/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE:,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070789695,https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:,-80.66791029|32.90358921,45029970500,+32.9053462,-080.6718142
COLUMBIA COLLEGE PARCELS A & B,"4626, 4638, 4630 N. MAIN ST.",COLUMBIA,SC,29203,RICHLAND,,"https://ofmpub.epa.gov/apex/cimc/f?p=100:31::::31,0:P31_ID:61861",,,,,https://ofmpub.epa.gov/apex/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE:30846,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110038716360,https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:34.04572 -81.03328,-81.03318272|34.04601969,45079000200,+34.0408728,-081.0377278
COMMERCIAL PROPERTY 805 S MAIN ST,805 S MAIN ST,ANDERSON,SC,29624,ANDERSON,,"https://ofmpub.epa.gov/apex/cimc/f?p=100:31::::31,0:P31_ID:134058",,,,,https://ofmpub.epa.gov/apex/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE:,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070258566,https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:34.49837 -82.64906,-82.64912|34.49873,45007000600,+34.4882459,-082.6349474
CONE MILL,3335 BUNCOMBE ROAD,GREENVILLE,SC,29602,GREENVILLE,,"https://ofmpub.epa.gov/apex/cimc/f?p=100:31::::31,0:P31_ID:106763",,,,,https://ofmpub.epa.gov/apex/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE:31899,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110040217459,https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:34.8892 -82.42457,-82.4090915|34.86322,45045000900,+34.8607575,-082.4098233
CONESTEE FOUNDATION,750 FEET WEST OF CONESTEE ROAD,GREENVILLE,SC,29605,GREENVILLE,,"https://ofmpub.epa.gov/apex/cimc/f?p=100:31::::31,0:P31_ID:223561",,,,,https://ofmpub.epa.gov/apex/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE:33775,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070004538,https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:34.768749 -82.352484,-82.348521|34.770781,45045002901,+34.7895220,-082.3456019
