objectid,name,feattype,GEOID,tract_latitude,tract_longitude,lat,lon
34817,Kershaw Recreation Department,Amusement Park,45057010200,+34.5820726,-080.5578749,34.5562897,-80.5795203
34824,Sumter National Forest,Park and Recreation Area,45087030700,+34.6214610,-081.7049843,34.5621771,-81.6054958
34829,H Cooper Black Jr Memorial Field Trial and Recreation Area,Park and Recreation Area,45025950600,+34.5951251,-079.8967144,34.5641583,-79.9285526
34843,Republic Golf Course and Club,Golf Course,45023021000,+34.5721311,-080.9053042,34.5703523,-80.9210565
34845,Darwin Wright Recreation Area,Beach,45007010600,+34.6465816,-082.6814321,34.5709237,-82.6852246
34849,Darwin Wright Park Boat Landing,Amusement Park,45007010600,+34.6465816,-082.6814321,34.5719189,-82.685446
34875,Draw Co,Amusement Park,45007010600,+34.6465816,-082.6814321,34.577796,-82.69252
34878,Carolina Sandhills National Wildlife Refuge Wildlife Drive,Park and Recreation Area,45025950800,+34.4978789,-080.2561591,34.578884,-80.232661
34882,Denver Downs Farm,Amusement Park,45007010600,+34.6465816,-082.6814321,34.5813737,-82.7239071
34888,Bermuda Run Golf Club,Golf Course,45055970200,+34.5100021,-080.4724066,34.5847523,-80.422113
34890,Firelake,Amusement Park,45007010402,+34.5777621,-082.5046973,34.5858247,-82.540957
34891,Fox Wood Hills Golf Course,Golf Course,45073030901,+34.5605163,-083.0702931,34.586001,-83.083016
34901,Clio Country Club,Golf Course,45069960500,+34.5616817,-079.5527531,34.5910229,-79.5746687
34902,Musgrove Mill State Historic Site,Park and Recreation Area,45059920600,+34.5100227,-081.7986227,34.5911418,-81.8524575
34904,Musgrove Mill Golf Club,Golf Course,45059920600,+34.5100227,-081.7986227,34.592369,-81.8426601
34918,Best Amusement,Amusement Park,45007010500,+34.6393655,-082.5726968,34.600461,-82.5462458
34926,Land's End,Beach,45073030902,+34.5674445,-082.9778172,34.603381,-82.9498241
