NCESSCH,LEAID,LEANM05,SCHNAM05,LCITY05,LSTATE05,LATCOD,LONCOD,MLOCALE,ULOCALE,status05,,,
4.50072E+11,4500720,AIKEN COUNTY SCHOOL DISTRICT,AIKEN HIGH,AIKEN,SC,33.57554,-81.70214,4,21,1,,,
4.50072E+11,4500720,AIKEN COUNTY SCHOOL DISTRICT,PAUL KNOX MIDDLE,NORTH AUGUSTA,SC,33.52914,-81.97349,4,21,1,,,
4.50072E+11,4500720,AIKEN COUNTY SCHOOL DISTRICT,NORTH AUGUSTA MIDDLE,N AUGUSTA,SC,33.53941,-81.9419,4,21,1,,,
4.50072E+11,4500720,AIKEN COUNTY SCHOOL DISTRICT,NORTH AUGUSTA HIGH SCHOOL,NORTH AUGUSTA,SC,33.53123,-81.96712,4,21,1,,,
4.50072E+11,4500720,AIKEN COUNTY SCHOOL DISTRICT,RIDGE-SPRING MONETTA HIGH SCHO,MONETTA,SC,33.82208,-81.62557,8,42,1,,,
4.50072E+11,4500720,AIKEN COUNTY SCHOOL DISTRICT,WAGENER SALLEY HIGH,WAGENER,SC,33.64679,-81.36437,8,42,1,,,
4.50072E+11,4500720,AIKEN COUNTY SCHOOL DISTRICT,AIKEN COUNTY CAREER & TECHNICAL CTR,LANGLEY,SC,33.5177,-81.8441,8,21,1,,,
4.50072E+11,4500720,AIKEN COUNTY SCHOOL DISTRICT,AIKEN MIDDLE SCHOOL,AIKEN,SC,33.57912,-81.69157,8,41,1,,,
4.50072E+11,4500720,AIKEN COUNTY SCHOOL DISTRICT,KENNEDY/LLOYD CHARTER SCHOOL,AIKEN,SC,33.6125,-81.7089,8,41,1,,,
4.50072E+11,4500720,AIKEN COUNTY SCHOOL DISTRICT,MIDLAND VALLEY PREPARATORY SCHOOL,GRANITEVILLE,SC,33.52998,-81.84346,8,41,1,,,
4.50072E+11,4500720,AIKEN COUNTY SCHOOL DISTRICT,AIKEN PERFORMING ARTS ACADEMY (CHARTER),AIKEN,SC,33.6125,-81.7089,8,41,3,,,
4.50072E+11,4500720,AIKEN COUNTY SCHOOL DISTRICT,MOSSY CREEK ELEMENTARY SCHOOL,NORTH AUGUSTA,SC,33.5427,-81.9603,4,21,3,,,
4.50072E+11,4500720,AIKEN COUNTY SCHOOL DISTRICT,AIKEN ELEMENTARY,AIKEN,SC,33.51492,-81.78901,8,41,1,,,
4.50072E+11,4500720,AIKEN COUNTY SCHOOL DISTRICT,CYRIL B BUSBEE ELEMENTARY,WAGENER,SC,33.64783,-81.3641,8,42,1,,,
4.50072E+11,4500720,AIKEN COUNTY SCHOOL DISTRICT,JEFFERSON ELEMENTARY SCHOOL,BATH,SC,33.50141,-81.85529,8,21,1,,,
4.50072E+11,4500720,AIKEN COUNTY SCHOOL DISTRICT,LANGLEY BATH CLEARWATER MIDDLE,BATH,SC,33.50352,-81.86608,4,21,1,,,
4.50072E+11,4500720,AIKEN COUNTY SCHOOL DISTRICT,LEAVELLE MCCAMPBELL MIDDLE,GRANITEVILLE,SC,33.567,-81.80712,4,21,1,,,
4.50072E+11,4500720,AIKEN COUNTY SCHOOL DISTRICT,MINNIE B KENNEDY MIDDLE SCHOOL,AIKEN,SC,33.52568,-81.71408,4,21,1,,,
4.50072E+11,4500720,AIKEN COUNTY SCHOOL DISTRICT,MIDLAND VALLEY HIGH SCHOOL,LANGLEY,SC,33.52239,-81.87083,8,41,1,,,
4.50072E+11,4500720,AIKEN COUNTY SCHOOL DISTRICT,NEW ELLENTON MIDDLE SCHOOL,NEW ELLENTON,SC,33.4072,-81.6849,4,31,1,,,
4.50072E+11,4500720,AIKEN COUNTY SCHOOL DISTRICT,OAKWOOD- WINDSOR EL,AIKEN,SC,33.51447,-81.57574,8,41,1,,,
4.50072E+11,4500720,AIKEN COUNTY SCHOOL DISTRICT,SCHOFIELD MIDDLE SCHOOL,AIKEN,SC,33.5734,-81.717,4,21,1,,,
4.50072E+11,4500720,AIKEN COUNTY SCHOOL DISTRICT,SOUTH AIKEN HIGH SCHOOL,AIKEN,SC,33.52521,-81.71552,4,21,1,,,
4.50072E+11,4500720,AIKEN COUNTY SCHOOL DISTRICT,JACKSON MIDDLE SCHOOL,JACKSON,SC,33.3415,-81.79314,8,42,1,,,
4.50072E+11,4500720,AIKEN COUNTY SCHOOL DISTRICT,SILVER BLUFF HIGH,AIKEN,SC,33.39697,-81.7556,8,42,1,,,
4.50072E+11,4500720,AIKEN COUNTY SCHOOL DISTRICT,REDCLIFFE ELEMENTARY SCHOOL,AIKEN,SC,33.37335,-81.82361,8,42,1,,,
4.50075E+11,4500750,ALLENDALE COUNTY SCHOOL DISTRICT,ALLENDALE-FAIRFAX HIGH SCHOOL,FAIRFAX,SC,32.9894,-81.2815,6,41,1,,,
4.50075E+11,4500750,ALLENDALE COUNTY SCHOOL DISTRICT,ALLENDALE ELEMENTARY,ALLENDALE,SC,33.0189,-81.3162,6,33,1,,,
4.50075E+11,4500750,ALLENDALE COUNTY SCHOOL DISTRICT,FAIRFAX ELEMENTARY SCHOOL,FAIRFAX,SC,32.9518,-81.2297,6,33,1,,,
4.50075E+11,4500750,ALLENDALE COUNTY SCHOOL DISTRICT,ALLENDALE-FAIRFAX MIDDLE,FAIRFAX,SC,32.9612,-81.2404,6,33,1,,,
4.50076E+11,4500760,ANDERSON CAREER TECHNOLGY CENTER,CAREER/TECH CTR ANDERSON 1 & 2,WILLIAMSTON,SC,34.6053,-82.49867,4,41,1,,,
4.50078E+11,4500780,ANDERSON COUNTY SCHOOL DISTRICT 01,CEDAR GROVE ELEMENTARY,WILLIAMSTON,SC,34.59187,-82.49365,4,41,1,,,
4.50078E+11,4500780,ANDERSON COUNTY SCHOOL DISTRICT 01,CONCRETE PRIMARY SCHOOL,EASLEY,SC,34.79577,-82.5084,4,21,1,,,
4.50078E+11,4500780,ANDERSON COUNTY SCHOOL DISTRICT 01,PELZER ELEMENTARY,PELZER,SC,34.64301,-82.46265,4,31,1,,,
4.50078E+11,4500780,ANDERSON COUNTY SCHOOL DISTRICT 01,WEST PELZER ELEMENTARY,WEST PELZER,SC,34.65371,-82.4585,4,31,1,,,
4.50078E+11,4500780,ANDERSON COUNTY SCHOOL DISTRICT 01,SPEARMAN ELEMENTARY SCHOOL,PIEDMONT,SC,34.68202,-82.54637,8,41,1,,,
4.50078E+11,4500780,ANDERSON COUNTY SCHOOL DISTRICT 01,PALMETTO MIDDLE SCHOOL,WILLIAMSTON,SC,34.64509,-82.48231,4,41,1,,,
4.50078E+11,4500780,ANDERSON COUNTY SCHOOL DISTRICT 01,WILLIAMSTON CHILD DEVELOPMENT CTR,WILLIAMSTON,SC,,,N,N,2,,,
4.50078E+11,4500780,ANDERSON COUNTY SCHOOL DISTRICT 01,PALMETTO HIGH,WILLIAMSTON,SC,34.64517,-82.48199,4,41,1,,,
4.50078E+11,4500780,ANDERSON COUNTY SCHOOL DISTRICT 01,WREN HIGH SCHOOL,PIEDMONT,SC,34.72111,-82.54342,8,41,1,,,
4.50078E+11,4500780,ANDERSON COUNTY SCHOOL DISTRICT 01,HUNT MEADOWS ELEMENTARY,EASLEY,SC,34.74477,-82.57575,8,41,1,,,
4.50078E+11,4500780,ANDERSON COUNTY SCHOOL DISTRICT 01,POWDERSVILLE ELEMENTARY,EASLEY,SC,34.74477,-82.57575,8,41,1,,,
4.50078E+11,4500780,ANDERSON COUNTY SCHOOL DISTRICT 01,WREN MIDDLE SCHOOL,PIEDMONT,SC,34.72632,-82.54709,8,41,1,,,
4.50078E+11,4500780,ANDERSON COUNTY SCHOOL DISTRICT 01,PALMETTO ELEMENTARY,WILLIAMSTON,SC,34.63047,-82.46877,4,31,1,,,
4.50078E+11,4500780,ANDERSON COUNTY SCHOOL DISTRICT 01,WREN ELEMENTARY,PIEDMONT,SC,34.71827,-82.54768,8,41,1,,,
4.50078E+11,4500780,ANDERSON COUNTY SCHOOL DISTRICT 01,POWDERSVILLE MIDDLE,GREENVILLE,SC,34.79437,-82.48761,4,21,1,,,
4.50081E+11,4500810,ANDERSON COUNTY SCHOOL DISTRICT 02,BELTON ELEMENTARY,BELTON,SC,34.51607,-82.49299,4,23,1,,,
4.50081E+11,4500810,ANDERSON COUNTY SCHOOL DISTRICT 02,MARSHALL PRIMARY SCHOOL,BELTON,SC,34.52425,-82.50352,4,23,1,,,
4.50081E+11,4500810,ANDERSON COUNTY SCHOOL DISTRICT 02,HONEA PATH ELEMENTARY,HONEA PATH,SC,34.4468,-82.4048,4,31,1,,,
4.50081E+11,4500810,ANDERSON COUNTY SCHOOL DISTRICT 02,WRIGHT ELEMENTARY SCHOOL,BELTON,SC,34.40144,-82.52513,8,42,1,,,
4.50081E+11,4500810,ANDERSON COUNTY SCHOOL DISTRICT 02,BELTON HONEA PATH HIGH,HONEA PATH,SC,34.47163,-82.42969,4,41,1,,,
4.50081E+11,4500810,ANDERSON COUNTY SCHOOL DISTRICT 02,BELTON MIDDLE SCHOOL,BELTON,SC,34.51569,-82.51045,8,23,1,,,
4.50081E+11,4500810,ANDERSON COUNTY SCHOOL DISTRICT 02,HONEA PATH MIDDLE SCHOOL,HONEA PATH,SC,34.44944,-82.39898,4,31,1,,,
4.50084E+11,4500840,ANDERSON COUNTY SCHOOL DISRTICT 03,IVA ELEMENTARY,IVA,SC,34.31274,-82.64154,8,42,1,,,
4.50084E+11,4500840,ANDERSON COUNTY SCHOOL DISRTICT 03,STARR ELEMENTARY,STARR,SC,34.37686,-82.69598,8,41,1,,,
4.50084E+11,4500840,ANDERSON COUNTY SCHOOL DISRTICT 03,STARR IVA MIDDLE SCHOOL,STARR,SC,34.38226,-82.7251,8,41,1,,,
4.50084E+11,4500840,ANDERSON COUNTY SCHOOL DISRTICT 03,CRESCENT HIGH SCHOOL,IVA,SC,34.33257,-82.68215,8,42,1,,,
4.50087E+11,4500870,ANDERSON COUNTY SCHOOL DISTRICT 04,LA FRANCE ELEMENTARY,LA FRANCE,SC,34.6121,-82.7613,4,41,1,,,
4.50087E+11,4500870,ANDERSON COUNTY SCHOOL DISTRICT 04,PENDLETON ELEMENTARY SCHOOL,PENDLETON,SC,34.6536,-82.77013,4,31,1,,,
4.50087E+11,4500870,ANDERSON COUNTY SCHOOL DISTRICT 04,TOWNVILLE ELEMENTARY,TOWNVILLE,SC,34.54551,-82.89599,8,42,1,,,
4.50087E+11,4500870,ANDERSON COUNTY SCHOOL DISTRICT 04,PENDLETON HIGH SCHOOL,PENDLETON,SC,34.60905,-82.7893,8,41,1,,,
4.50087E+11,4500870,ANDERSON COUNTY SCHOOL DISTRICT 04,RIVERSIDE MIDDLE SCHOOL,PENDLETON,SC,34.65322,-82.79404,8,41,1,,,
4.5009E+11,4500900,ANDERSON COUNTY SCHOOL DISTRICT 05,CENTERVILLE ELEMENTARY SCHOOL,ANDERSON,SC,34.53072,-82.70497,4,23,1,,,
4.5009E+11,4500900,ANDERSON COUNTY SCHOOL DISTRICT 05,CONCORD ELEMENTARY,ANDERSON,SC,34.53674,-82.65633,2,13,1,,,
4.5009E+11,4500900,ANDERSON COUNTY SCHOOL DISTRICT 05,HOMELAND PARK ELEMENTARY,ANDERSON,SC,34.46408,-82.65557,4,23,1,,,
4.5009E+11,4500900,ANDERSON COUNTY SCHOOL DISTRICT 05,NEVITT FOREST ELEMENTARY,ANDERSON,SC,34.49286,-82.60345,2,13,1,,,
4.5009E+11,4500900,ANDERSON COUNTY SCHOOL DISTRICT 05,SOUTH FANT STREET FAMILY EDUCATION CTR,ANDERSON,SC,34.48919,-82.64421,2,13,1,,,
4.5009E+11,4500900,ANDERSON COUNTY SCHOOL DISTRICT 05,VARENNES ELEMENTARY,ANDERSON,SC,34.45202,-82.69687,2,41,1,,,
4.5009E+11,4500900,ANDERSON COUNTY SCHOOL DISTRICT 05,WHITEHALL ELEMENTARY,ANDERSON,SC,34.52949,-82.68046,2,13,1,,,
4.5009E+11,4500900,ANDERSON COUNTY SCHOOL DISTRICT 05,CALHOUN ACADEMY OF THE ARTS,ANDERSON,SC,34.52463,-82.62612,2,13,1,,,
4.5009E+11,4500900,ANDERSON COUNTY SCHOOL DISTRICT 05,T L HANNA HIGH SCHOOL,ANDERSON,SC,34.56489,-82.62599,2,41,1,,,
4.5009E+11,4500900,ANDERSON COUNTY SCHOOL DISTRICT 05,LAKESIDE MIDDLE SCHOOL,ANDERSON,SC,34.50471,-82.68498,4,23,1,,,
4.5009E+11,4500900,ANDERSON COUNTY SCHOOL DISTRICT 05,MCCANTS MIDDLE SCHOOL,ANDERSON,SC,34.52416,-82.63098,2,13,1,,,
4.5009E+11,4500900,ANDERSON COUNTY SCHOOL DISTRICT 05,SOUTHWOOD MIDDLE SCHOOL,ANDERSON,SC,34.49088,-82.66132,2,13,1,,,
4.5009E+11,4500900,ANDERSON COUNTY SCHOOL DISTRICT 05,WESTSIDE HIGH SCHOOL,ANDERSON,SC,34.52085,-82.69216,4,23,1,,,
4.5009E+11,4500900,ANDERSON COUNTY SCHOOL DISTRICT 05,MIDWAY ELEMENTARY SCHOOL,ANDERSON,SC,34.5576,-82.6158,8,41,1,,,
4.5009E+11,4500900,ANDERSON COUNTY SCHOOL DISTRICT 05,MCLEES ELEMENTARY SCHOOL,ANDERSON,SC,34.47402,-82.75463,2,41,1,,,
4.5009E+11,4500900,ANDERSON COUNTY SCHOOL DISTRICT 05,NEW PROSPECT ELEMENTARY SCHOOL,ANDERSON,SC,34.505,-82.70321,4,23,1,,,
4.50093E+11,4500930,BAMBERG COUNTY SCHOOL DISTRICT 01,RICHARD CARROLL ELEMENTARY,BAMBERG,SC,33.30479,-81.03612,6,33,1,,,
4.50093E+11,4500930,BAMBERG COUNTY SCHOOL DISTRICT 01,BAMBERG EHRHARDT HIGH,BAMBERG,SC,33.3055,-81.0283,6,33,1,,,
4.50093E+11,4500930,BAMBERG COUNTY SCHOOL DISTRICT 01,BAMBERG-EHRHARDT MIDDLE SCHOOL,BAMBERG,SC,33.30297,-81.031,6,33,1,,,
4.50093E+11,4500930,BAMBERG COUNTY SCHOOL DISTRICT 01,EHRHARDT ELEMENTARY,EHRHARDT,SC,33.1012,-81.0319,7,43,1,,,
4.50096E+11,4500960,BAMBERG COUNTY SCHOOL DISTRICT 02,DENMARK OLAR HIGH SCHOOL,DENMARK,SC,33.32675,-81.14103,6,33,1,,,
4.50096E+11,4500960,BAMBERG COUNTY SCHOOL DISTRICT 02,DENMARK-OLAR MIDDLE SCHOOL,DENMARK,SC,33.32675,-81.14103,6,33,1,,,
4.50096E+11,4500960,BAMBERG COUNTY SCHOOL DISTRICT 02,DENMARK-OLAR ELEMENTARY SCHOOL,DENMARK,SC,33.3094,-81.1302,6,33,1,,,
4.50098E+11,4500980,BARNWELL COUNTY CAREER CENTER,BARNWELL CO AVC,BLACKVILLE,SC,33.31718,-81.34575,7,42,1,,,
4.50102E+11,4501020,BARNWELL COUNTY SCHOOL DISTRICT 19,MACEDONIA ELEMENTARY SCHOOL,BLACKVILLE,SC,33.37008,-81.26817,7,42,1,,,
4.50102E+11,4501020,BARNWELL COUNTY SCHOOL DISTRICT 19,BLACKVILLE HILDA JR. HIGH SCHOOL,BLACKVILLE,SC,33.3574,-81.2822,7,42,1,,,
4.50102E+11,4501020,BARNWELL COUNTY SCHOOL DISTRICT 19,BLACKVILLE-HILDA HIGH SCHOOL,BLACKVILLE,SC,33.3574,-81.2822,7,42,1,,,
4.50105E+11,4501050,BARNWELL COUNTY SCHOOL DISTRICT 29,KELLY EDWARDS ELEMENTARY,WILLISTON,SC,33.39834,-81.40449,7,42,1,,,
4.50105E+11,4501050,BARNWELL COUNTY SCHOOL DISTRICT 29,WILLISTON ELKO HIGH SCHOOL,WILLISTON,SC,33.39735,-81.41305,7,42,1,,,
4.50105E+11,4501050,BARNWELL COUNTY SCHOOL DISTRICT 29,WILLISTON-ELKO MIDDLE SCHOOL,WILLISTON,SC,33.39746,-81.41329,7,42,1,,,
4.50108E+11,4501080,BARNWELL COUNTY SCHOOL DISTRICT 45,BARNWELL PRIMARY SCHOOL,BARNWELL,SC,33.24094,-81.35547,7,41,1,,,
4.50108E+11,4501080,BARNWELL COUNTY SCHOOL DISTRICT 45,GUINYARD-BUTLER MIDDLE SCHOOL,BARNWELL,SC,33.24618,-81.3589,6,32,1,,,
4.50108E+11,4501080,BARNWELL COUNTY SCHOOL DISTRICT 45,BARNWELL HIGH SCHOOL,BARNWELL,SC,33.22752,-81.36019,6,32,1,,,
4.50108E+11,4501080,BARNWELL COUNTY SCHOOL DISTRICT 45,BARNWELL ELEMENTARY SCHOOL,BARNWELL,SC,33.2555,-81.35574,6,32,1,,,
4.5011E+11,4501100,BEAUFORT-JASPER CAREER CENTER,BEAUFORT JASPER ACADEMY FOR CAREER EXCEL,RIDGELAND,SC,32.4888,-80.9873,7,32,1,,,
4.50111E+11,4501110,BEAUFORT COUNTY SCHOOL DISTRICT,JOSEPH J. SHANKLIN SR. ELEMENTARY,BURTON,SC,32.45452,-80.79445,7,41,1,,,
4.50111E+11,4501110,BEAUFORT COUNTY SCHOOL DISTRICT,BEAUFORT ELEMENTARY SCHOOL,BEAUFORT,SC,32.43558,-80.68188,6,32,1,,,
