﻿wkt_geom,OBJECTID,STCTYFIPS,NAME,FEATTYPE,MNFC,TEXTLENGTH
Point (-78.8437968000000069 33.7319815000000176),27289,45051,Pine Lakes Country Club,Golf Course,9911,23
Point (-78.82641799999998966 33.73471599999999171),27324,45051,Canepatch Swash,Beach,9357,15
Point (-78.82503430000002709 33.73496080000001029),27327,45051,65Th Ave N Beach Access,Beach,9357,23
Point (-78.90963310000000774 33.73542620000000625),27338,45051,International World Tour Golf Links,Golf Course,9911,35
Point (-78.83419989999998734 33.73640319999998383),27348,45051,McLeod Park,Amusement Park,9902,11
Point (-78.82378940000000966 33.73686959999997725),27359,45051,67Th Ave Beach Access,Beach,9357,21
Point (-78.87145750000001954 33.73785140000001093),27373,45051,PineHills Golf Course,Golf Course,9911,21
Point (-78.87157350000001088 33.73785290000000714),27374,45051,Palmetto Golf Club,Golf Course,9911,18
Point (-78.82149900000001708 33.73802860000000692),27377,45051,The Dyrtie Myrtie,Beach,9357,17
Point (-78.87148960000001807 33.73817700000000741),27381,45051,Myrtlewood Golf Club,Golf Course,9911,20
Point (-78.81997200000000703 33.73920500000002676),27402,45051,Beach @ 70Th Ave,Beach,9357,16
Point (-78.82333019999998669 33.73929540000000316),27403,45051,The Dirty Secrets Club,Beach,9357,22
Point (-78.8202656999999931 33.73973019999999678),27413,45051,Sunrise At The Beach,Beach,9357,20
Point (-78.82275320000002239 33.74051350000002003),27424,45051,Beach - 70Th Ave Beach Access,Beach,9357,29
Point (-78.81767910000002075 33.74073670000001357),27429,45051,Poolside @ Long Bay Resort,Beach,9357,26
Point (-78.8181109999999876 33.74097499999999172),27434,45051,Beach @ 72Nd Ave,Beach,9357,16
Point (-78.81746900000001688 33.74105600000001459),27436,45051,The Beach @ 73Rd!,Beach,9357,17
Point (-81.67891800000001012 33.74148600000000897),27440,45003,South Edisto Golf Course,Golf Course,9911,24
Point (-78.81467370000001438 33.74271379999998999),27461,45051,75Th Ave. Beach,Beach,9357,15
Point (-78.81369460000001936 33.74307379999999057),27467,45051,77Th Avenue Beach Access,Beach,9357,24
Point (-79.00341789999998809 33.74310300000001916),27469,45051,The Classic Swing Golf School,Golf Course,9911,29
Point (-78.82341300000001638 33.74312900000001036),27472,45051,Jungle Safari Mini-Golf,Amusement Park,9902,23
Point (-78.81434730000000854 33.74323609999999007),27476,45051,Toes In The Sand - Carolina Winds,Beach,9357,33
Point (-79.0033546999999885 33.74328759999997374),27478,45051,Legends Golf Club,Golf Course,9911,17
Point (-78.8160129999999981 33.74329199999999673),27479,45051,Ocean Dunes Resort Myrtle Beach,Beach,9357,31
Point (-78.82374160000000529 33.7434566000000018),27481,45051,Jungle Safari Golf,Golf Course,9911,18
Point (-78.82288729999999077 33.743735700000002),27486,45051,Safari Golf Putt Putt,Amusement Park,9902,21
Point (-78.82279210000001513 33.74449110000000474),27495,45051,Cane Patch Par-3 Driving Range,Golf Course,9911,30
Point (-78.81144990000001371 33.74514399999998204),27506,45051,Beach @ 79Th Avenue N,Beach,9357,21
Point (-78.82371100000000297 33.7463730000000055),27525,45051,Cane Patch Driving Range,Golf Course,9911,24
Point (-78.80863340000001926 33.74727739999997311),27536,45051,Ocean,Beach,9357,5
Point (-78.8076947000000132 33.74796450000002324),27546,45051,Balcony Facing The Ocean,Beach,9357,24
Point (-78.80660599999998794 33.74866600000001426),27556,45051,Marriott's Ocean Watch Beach,Beach,9357,28
Point (-78.81525440000001481 33.74921949999998105),27567,45051,78Th Ave. North,Beach,9357,15
Point (-78.80788660000001755 33.74961500000000569),27573,45051,Marriott Ow Villas Woodsy Treehouse,Amusement Park,9902,35
Point (-78.80745200000001205 33.74968899999998939),27575,45051,MINI Golf At Dunes Resort,Golf Course,9911,25
Point (-78.9018929000000071 33.75182000000000926),27602,45051,Careyon Charters,Amusement Park,9902,16
Point (-78.96277620000000752 33.75208509999998796),27605,45051,Legends Golf Course,Golf Course,9911,19
