StateFIPS,State,CensusTract,Census Tract,Year,Value,Data Comment
45,South Carolina,45015020812,"Berkeley County, SC - 45015020812",2016,16.80%,
45,South Carolina,45015020901,"Berkeley County, SC - 45015020901",2016,28.90%,
45,South Carolina,45015020903,"Berkeley County, SC - 45015020903",2016,15.40%,
45,South Carolina,45015020904,"Berkeley County, SC - 45015020904",2016,13.10%,
45,South Carolina,45015021000,"Berkeley County, SC - 45015021000",2016,17.70%,
45,South Carolina,45015980100,"Berkeley County, SC - 45015980100",2016,3.80%,
45,South Carolina,45017950100,"Calhoun County, SC - 45017950100",2016,1.50%,
45,South Carolina,45017950200,"Calhoun County, SC - 45017950200",2016,0.90%,
45,South Carolina,45017950400,"Calhoun County, SC - 45017950400",2016,0.50%,
45,South Carolina,45019000100,"Charleston County, SC - 45019000100",2016,25.40%,
45,South Carolina,45019000200,"Charleston County, SC - 45019000200",2016,33.50%,
45,South Carolina,45019000400,"Charleston County, SC - 45019000400",2016,66.00%,
45,South Carolina,45019000500,"Charleston County, SC - 45019000500",2016,41.60%,
45,South Carolina,45019000600,"Charleston County, SC - 45019000600",2016,59.90%,
45,South Carolina,45019000700,"Charleston County, SC - 45019000700",2016,68.50%,
45,South Carolina,45019000900,"Charleston County, SC - 45019000900",2016,34.70%,
45,South Carolina,45019001000,"Charleston County, SC - 45019001000",2016,60.20%,
45,South Carolina,45019001100,"Charleston County, SC - 45019001100",2016,42.20%,
45,South Carolina,45019001500,"Charleston County, SC - 45019001500",2016,51.10%,
45,South Carolina,45019001600,"Charleston County, SC - 45019001600",2016,17.60%,
45,South Carolina,45019001901,"Charleston County, SC - 45019001901",2016,6.30%,
45,South Carolina,45019001902,"Charleston County, SC - 45019001902",2016,11.60%,
45,South Carolina,45019002002,"Charleston County, SC - 45019002002",2016,17.30%,
45,South Carolina,45019002003,"Charleston County, SC - 45019002003",2016,2.10%,
45,South Carolina,45019002004,"Charleston County, SC - 45019002004",2016,7.40%,
45,South Carolina,45019002005,"Charleston County, SC - 45019002005",2016,5.70%,
45,South Carolina,45019002006,"Charleston County, SC - 45019002006",2016,14.00%,
45,South Carolina,45019002007,"Charleston County, SC - 45019002007",2016,7.80%,
45,South Carolina,45019002101,"Charleston County, SC - 45019002101",2016,2.30%,
45,South Carolina,45019002103,"Charleston County, SC - 45019002103",2016,0.80%,
45,South Carolina,45019002104,"Charleston County, SC - 45019002104",2016,3.20%,
45,South Carolina,45019002105,"Charleston County, SC - 45019002105",2016,3.30%,
45,South Carolina,45019002200,"Charleston County, SC - 45019002200",2016,0.20%,
45,South Carolina,45019002300,"Charleston County, SC - 45019002300",2016,0.20%,
45,South Carolina,45019002400,"Charleston County, SC - 45019002400",2016,0.30%,
45,South Carolina,45019002502,"Charleston County, SC - 45019002502",2016,1.10%,
45,South Carolina,45019002604,"Charleston County, SC - 45019002604",2016,11.90%,
45,South Carolina,45019002605,"Charleston County, SC - 45019002605",2016,21.30%,
45,South Carolina,45019002606,"Charleston County, SC - 45019002606",2016,6.10%,
45,South Carolina,45019002611,"Charleston County, SC - 45019002611",2016,10.40%,
45,South Carolina,45019002612,"Charleston County, SC - 45019002612",2016,21.10%,
45,South Carolina,45019002613,"Charleston County, SC - 45019002613",2016,24.60%,
45,South Carolina,45019002614,"Charleston County, SC - 45019002614",2016,24.50%,
45,South Carolina,45019002701,"Charleston County, SC - 45019002701",2016,42.60%,
45,South Carolina,45019002702,"Charleston County, SC - 45019002702",2016,30.30%,
45,South Carolina,45019002801,"Charleston County, SC - 45019002801",2016,14.90%,
45,South Carolina,45019002802,"Charleston County, SC - 45019002802",2016,14.10%,
45,South Carolina,45019002900,"Charleston County, SC - 45019002900",2016,17.70%,
45,South Carolina,45019003000,"Charleston County, SC - 45019003000",2016,18.80%,
