state_fips,state,geoid,census_tract_2,year,value,data_comment,tract_latitude,tract_longitude
45,South Carolina,45013010100,"Beaufort County, SC - 45013010100",2016,4.00%,,+32.1265422,-080.8133825
45,South Carolina,45013010200,"Beaufort County, SC - 45013010200",2016,2.90%,,+32.1519392,-080.7893447
45,South Carolina,45013010300,"Beaufort County, SC - 45013010300",2016,7.00%,,+32.1728039,-080.7602214
45,South Carolina,45013010400,"Beaufort County, SC - 45013010400",2016,5.70%,,+32.1985315,-080.7550507
45,South Carolina,45013010500,"Beaufort County, SC - 45013010500",2016,7.10%,,+32.2217262,-080.7591761
45,South Carolina,45013010600,"Beaufort County, SC - 45013010600",2016,6.70%,,+32.2452931,-080.7347150
45,South Carolina,45013010700,"Beaufort County, SC - 45013010700",2016,4.90%,,+32.2572090,-080.7106039
45,South Carolina,45013010800,"Beaufort County, SC - 45013010800",2016,13.60%,,+32.2397676,-080.6876677
45,South Carolina,45013010900,"Beaufort County, SC - 45013010900",2016,6.10%,,+32.2239188,-080.6788847
45,South Carolina,45013011000,"Beaufort County, SC - 45013011000",2016,8.20%,,+32.1962579,-080.7074487
45,South Carolina,45013011100,"Beaufort County, SC - 45013011100",2016,10.70%,,+32.1776296,-080.7213883
45,South Carolina,45013011200,"Beaufort County, SC - 45013011200",2016,16.80%,,+32.1514615,-080.7433783
45,South Carolina,45013011300,"Beaufort County, SC - 45013011300",2016,22.40%,,+32.1398723,-080.7612122
45,South Carolina,45013990100,"Beaufort County, SC - 45013990100",2016,5.40%,,+32.2428182,-080.5598028
45,South Carolina,45015020101,"Berkeley County, SC - 45015020101",2016,0.30%,,+33.3435539,-080.1699561
45,South Carolina,45015020102,"Berkeley County, SC - 45015020102",2016,0.40%,,+33.1909851,-080.2731373
45,South Carolina,45015020201,"Berkeley County, SC - 45015020201",2016,1.20%,,+33.3806007,-079.8905635
45,South Carolina,45015020202,"Berkeley County, SC - 45015020202",2016,0.60%,,+33.4272266,-080.0396688
45,South Carolina,45015020301,"Berkeley County, SC - 45015020301",2016,0.40%,,+33.2871316,-079.8280540
45,South Carolina,45015020302,"Berkeley County, SC - 45015020302",2016,1.00%,,+33.3018139,-079.9643439
45,South Carolina,45015020401,"Berkeley County, SC - 45015020401",2016,0.20%,,+33.1852078,-079.7254891
45,South Carolina,45015020403,"Berkeley County, SC - 45015020403",2016,7.00%,,+32.8630475,-079.9189550
45,South Carolina,45015020404,"Berkeley County, SC - 45015020404",2016,3.10%,,+32.9212148,-079.8905423
45,South Carolina,45015020405,"Berkeley County, SC - 45015020405",2016,1.50%,,+33.0127641,-079.8275141
45,South Carolina,45015020503,"Berkeley County, SC - 45015020503",2016,0.60%,,+33.2179689,-080.0966171
45,South Carolina,45015020504,"Berkeley County, SC - 45015020504",2016,5.80%,,+33.2060781,-080.0069274
45,South Carolina,45015020505,"Berkeley County, SC - 45015020505",2016,9.60%,,+33.1537443,-080.0382644
45,South Carolina,45015020506,"Berkeley County, SC - 45015020506",2016,11.30%,,+33.1834737,-079.9987130
45,South Carolina,45015020600,"Berkeley County, SC - 45015020600",2016,2.80%,,+33.0870933,-079.9910086
45,South Carolina,45015020707,"Berkeley County, SC - 45015020707",2016,5.90%,,+33.0619117,-080.0440881
45,South Carolina,45015020710,"Berkeley County, SC - 45015020710",2016,4.40%,,+33.0923660,-080.1901804
45,South Carolina,45015020711,"Berkeley County, SC - 45015020711",2016,4.80%,,+33.1440812,-080.1200965
45,South Carolina,45015020712,"Berkeley County, SC - 45015020712",2016,7.50%,,+33.0974243,-080.1025100
45,South Carolina,45015020713,"Berkeley County, SC - 45015020713",2016,4.00%,,+33.0714364,-080.1305502
45,South Carolina,45015020714,"Berkeley County, SC - 45015020714",2016,24.70%,,+33.0273185,-080.1382363
45,South Carolina,45015020715,"Berkeley County, SC - 45015020715",2016,22.90%,,+33.0374732,-080.1221350
45,South Carolina,45015020716,"Berkeley County, SC - 45015020716",2016,16.50%,,+33.0132704,-080.1087900
