StateFIPS,State,CensusTract,Census Tract,Year,Value,Data Comment
45,South Carolina,45019003106,"Charleston County, SC - 45019003106",2015,5.10%,
45,South Carolina,45019003107,"Charleston County, SC - 45019003107",2015,3.00%,
45,South Carolina,45019003108,"Charleston County, SC - 45019003108",2015,9.70%,
45,South Carolina,45019003109,"Charleston County, SC - 45019003109",2015,2.10%,
45,South Carolina,45019003110,"Charleston County, SC - 45019003110",2015,17.00%,
45,South Carolina,45019003111,"Charleston County, SC - 45019003111",2015,6.00%,
45,South Carolina,45019003113,"Charleston County, SC - 45019003113",2015,9.00%,
45,South Carolina,45019003114,"Charleston County, SC - 45019003114",2015,3.80%,
45,South Carolina,45019003115,"Charleston County, SC - 45019003115",2015,6.60%,
45,South Carolina,45019003200,"Charleston County, SC - 45019003200",2015,3.40%,
45,South Carolina,45019003300,"Charleston County, SC - 45019003300",2015,24.30%,
45,South Carolina,45019003400,"Charleston County, SC - 45019003400",2015,26.20%,
45,South Carolina,45019003500,"Charleston County, SC - 45019003500",2015,2.70%,
45,South Carolina,45019003600,"Charleston County, SC - 45019003600",2015,11.10%,
45,South Carolina,45019003700,"Charleston County, SC - 45019003700",2015,32.70%,
45,South Carolina,45019003800,"Charleston County, SC - 45019003800",2015,28.30%,
45,South Carolina,45019003900,"Charleston County, SC - 45019003900",2015,5.20%,
45,South Carolina,45019004000,"Charleston County, SC - 45019004000",2015,17.30%,
45,South Carolina,45019004300,"Charleston County, SC - 45019004300",2015,37.00%,
45,South Carolina,45019004400,"Charleston County, SC - 45019004400",2015,32.60%,
45,South Carolina,45019004606,"Charleston County, SC - 45019004606",2015,6.30%,
45,South Carolina,45019004607,"Charleston County, SC - 45019004607",2015,6.80%,
45,South Carolina,45019004608,"Charleston County, SC - 45019004608",2015,1.70%,
45,South Carolina,45019004609,"Charleston County, SC - 45019004609",2015,4.20%,
45,South Carolina,45019004610,"Charleston County, SC - 45019004610",2015,5.60%,
45,South Carolina,45019004611,"Charleston County, SC - 45019004611",2015,1.70%,
45,South Carolina,45019004612,"Charleston County, SC - 45019004612",2015,3.30%,
45,South Carolina,45019004613,"Charleston County, SC - 45019004613",2015,0.00%,
45,South Carolina,45019004614,"Charleston County, SC - 45019004614",2015,0.80%,
45,South Carolina,45019004701,"Charleston County, SC - 45019004701",2015,4.80%,
45,South Carolina,45019004702,"Charleston County, SC - 45019004702",2015,4.30%,
45,South Carolina,45019004800,"Charleston County, SC - 45019004800",2015,1.40%,
45,South Carolina,45019004901,"Charleston County, SC - 45019004901",2015,0.00%,
45,South Carolina,45019004902,"Charleston County, SC - 45019004902",2015,4.20%,
45,South Carolina,45019005000,"Charleston County, SC - 45019005000",2015,13.00%,
45,South Carolina,45019005100,"Charleston County, SC - 45019005100",2015,15.50%,
45,South Carolina,45019005200,"Charleston County, SC - 45019005200",2015,9.30%,
45,South Carolina,45019005300,"Charleston County, SC - 45019005300",2015,43.10%,
45,South Carolina,45019005400,"Charleston County, SC - 45019005400",2015,35.30%,
45,South Carolina,45019005500,"Charleston County, SC - 45019005500",2015,41.00%,
45,South Carolina,45019005600,"Charleston County, SC - 45019005600",2015,0.60%,
45,South Carolina,45019005700,"Charleston County, SC - 45019005700",2015,0.40%,
45,South Carolina,45019005800,"Charleston County, SC - 45019005800",2015,0.90%,
45,South Carolina,45019990100,"Charleston County, SC - 45019990100",2015,0.00%,
45,South Carolina,45021970100,"Cherokee County, SC - 45021970100",2015,5.20%,
45,South Carolina,45021970201,"Cherokee County, SC - 45021970201",2015,17.30%,
45,South Carolina,45021970202,"Cherokee County, SC - 45021970202",2015,2.20%,
45,South Carolina,45021970301,"Cherokee County, SC - 45021970301",2015,11.50%,
45,South Carolina,45021970302,"Cherokee County, SC - 45021970302",2015,18.90%,
45,South Carolina,45021970401,"Cherokee County, SC - 45021970401",2015,12.10%,
45,South Carolina,45021970402,"Cherokee County, SC - 45021970402",2015,6.90%,
45,South Carolina,45021970501,"Cherokee County, SC - 45021970501",2015,3.50%,
45,South Carolina,45021970502,"Cherokee County, SC - 45021970502",2015,27.20%,
45,South Carolina,45021970503,"Cherokee County, SC - 45021970503",2015,9.20%,
45,South Carolina,45021970601,"Cherokee County, SC - 45021970601",2015,9.50%,
45,South Carolina,45021970602,"Cherokee County, SC - 45021970602",2015,4.20%,
45,South Carolina,45021970700,"Cherokee County, SC - 45021970700",2015,3.90%,
45,South Carolina,45023020100,"Chester County, SC - 45023020100",2015,22.10%,
45,South Carolina,45023020200,"Chester County, SC - 45023020200",2015,30.70%,
45,South Carolina,45023020300,"Chester County, SC - 45023020300",2015,16.20%,
45,South Carolina,45023020400,"Chester County, SC - 45023020400",2015,6.70%,
45,South Carolina,45023020500,"Chester County, SC - 45023020500",2015,4.40%,
45,South Carolina,45023020601,"Chester County, SC - 45023020601",2015,2.60%,
45,South Carolina,45023020602,"Chester County, SC - 45023020602",2015,4.00%,
45,South Carolina,45023020700,"Chester County, SC - 45023020700",2015,7.50%,
45,South Carolina,45023020800,"Chester County, SC - 45023020800",2015,2.90%,
45,South Carolina,45023020900,"Chester County, SC - 45023020900",2015,5.10%,
45,South Carolina,45023021000,"Chester County, SC - 45023021000",2015,12.80%,
45,South Carolina,45025950101,"Chesterfield County, SC - 45025950101",2015,7.10%,
45,South Carolina,45025950102,"Chesterfield County, SC - 45025950102",2015,8.70%,
45,South Carolina,45025950200,"Chesterfield County, SC - 45025950200",2015,7.60%,
45,South Carolina,45025950300,"Chesterfield County, SC - 45025950300",2015,4.80%,
45,South Carolina,45025950400,"Chesterfield County, SC - 45025950400",2015,7.50%,
45,South Carolina,45025950501,"Chesterfield County, SC - 45025950501",2015,5.00%,
45,South Carolina,45025950502,"Chesterfield County, SC - 45025950502",2015,13.90%,
45,South Carolina,45025950600,"Chesterfield County, SC - 45025950600",2015,16.50%,
45,South Carolina,45025950700,"Chesterfield County, SC - 45025950700",2015,8.30%,
45,South Carolina,45025950800,"Chesterfield County, SC - 45025950800",2015,5.00%,
45,South Carolina,45027960100,"Clarendon County, SC - 45027960100",2015,11.60%,
45,South Carolina,45027960201,"Clarendon County, SC - 45027960201",2015,5.80%,
45,South Carolina,45027960202,"Clarendon County, SC - 45027960202",2015,0.00%,
45,South Carolina,45027960300,"Clarendon County, SC - 45027960300",2015,15.80%,
45,South Carolina,45027960400,"Clarendon County, SC - 45027960400",2015,3.60%,
45,South Carolina,45027960500,"Clarendon County, SC - 45027960500",2015,16.70%,
45,South Carolina,45027960600,"Clarendon County, SC - 45027960600",2015,11.30%,
45,South Carolina,45027960701,"Clarendon County, SC - 45027960701",2015,4.80%,
45,South Carolina,45027960702,"Clarendon County, SC - 45027960702",2015,1.00%,
45,South Carolina,45027960703,"Clarendon County, SC - 45027960703",2015,7.70%,
45,South Carolina,45027960801,"Clarendon County, SC - 45027960801",2015,14.80%,
45,South Carolina,45027960802,"Clarendon County, SC - 45027960802",2015,6.50%,
45,South Carolina,45029970100,"Colleton County, SC - 45029970100",2015,10.20%,
45,South Carolina,45029970200,"Colleton County, SC - 45029970200",2015,7.70%,
45,South Carolina,45029970300,"Colleton County, SC - 45029970300",2015,6.40%,
45,South Carolina,45029970401,"Colleton County, SC - 45029970401",2015,5.50%,
45,South Carolina,45029970402,"Colleton County, SC - 45029970402",2015,7.30%,
45,South Carolina,45029970500,"Colleton County, SC - 45029970500",2015,16.10%,
45,South Carolina,45029970600,"Colleton County, SC - 45029970600",2015,4.20%,
45,South Carolina,45029970700,"Colleton County, SC - 45029970700",2015,4.90%,
45,South Carolina,45029970800,"Colleton County, SC - 45029970800",2015,4.90%,
45,South Carolina,45029990100,"Colleton County, SC - 45029990100",2015,0.00%,
45,South Carolina,45031010100,"Darlington County, SC - 45031010100",2015,7.80%,
45,South Carolina,45031010200,"Darlington County, SC - 45031010200",2015,8.10%,
45,South Carolina,45031010300,"Darlington County, SC - 45031010300",2015,8.60%,
45,South Carolina,45031010400,"Darlington County, SC - 45031010400",2015,10.50%,
45,South Carolina,45031010500,"Darlington County, SC - 45031010500",2015,6.90%,
45,South Carolina,45031010600,"Darlington County, SC - 45031010600",2015,17.30%,
45,South Carolina,45031010700,"Darlington County, SC - 45031010700",2015,19.50%,
45,South Carolina,45031010800,"Darlington County, SC - 45031010800",2015,5.80%,
45,South Carolina,45031010900,"Darlington County, SC - 45031010900",2015,5.80%,
45,South Carolina,45031011000,"Darlington County, SC - 45031011000",2015,8.80%,
45,South Carolina,45031011100,"Darlington County, SC - 45031011100",2015,10.10%,
45,South Carolina,45031011200,"Darlington County, SC - 45031011200",2015,15.70%,
45,South Carolina,45031011300,"Darlington County, SC - 45031011300",2015,11.10%,
45,South Carolina,45031011400,"Darlington County, SC - 45031011400",2015,18.00%,
45,South Carolina,45031011500,"Darlington County, SC - 45031011500",2015,9.80%,
45,South Carolina,45031011600,"Darlington County, SC - 45031011600",2015,7.20%,
45,South Carolina,45033970100,"Dillon County, SC - 45033970100",2015,5.40%,
45,South Carolina,45033970200,"Dillon County, SC - 45033970200",2015,11.60%,
45,South Carolina,45033970300,"Dillon County, SC - 45033970300",2015,11.60%,
45,South Carolina,45033970400,"Dillon County, SC - 45033970400",2015,25.00%,
45,South Carolina,45033970500,"Dillon County, SC - 45033970500",2015,7.60%,
45,South Carolina,45033970600,"Dillon County, SC - 45033970600",2015,10.00%,
45,South Carolina,45035010100,"Dorchester County, SC - 45035010100",2015,11.70%,
45,South Carolina,45035010200,"Dorchester County, SC - 45035010200",2015,18.70%,
45,South Carolina,45035010300,"Dorchester County, SC - 45035010300",2015,14.20%,
45,South Carolina,45035010400,"Dorchester County, SC - 45035010400",2015,2.90%,
45,South Carolina,45035010501,"Dorchester County, SC - 45035010501",2015,1.40%,
45,South Carolina,45035010503,"Dorchester County, SC - 45035010503",2015,0.70%,
45,South Carolina,45035010504,"Dorchester County, SC - 45035010504",2015,16.20%,
45,South Carolina,45035010505,"Dorchester County, SC - 45035010505",2015,8.40%,
45,South Carolina,45035010603,"Dorchester County, SC - 45035010603",2015,2.00%,
45,South Carolina,45035010604,"Dorchester County, SC - 45035010604",2015,7.90%,
45,South Carolina,45035010605,"Dorchester County, SC - 45035010605",2015,6.00%,
45,South Carolina,45035010606,"Dorchester County, SC - 45035010606",2015,4.40%,
45,South Carolina,45035010700,"Dorchester County, SC - 45035010700",2015,4.70%,
45,South Carolina,45035010801,"Dorchester County, SC - 45035010801",2015,4.20%,
45,South Carolina,45035010807,"Dorchester County, SC - 45035010807",2015,1.60%,
45,South Carolina,45035010808,"Dorchester County, SC - 45035010808",2015,6.00%,
45,South Carolina,45035010809,"Dorchester County, SC - 45035010809",2015,4.10%,
