property_name,latitude,longitude,address,city,state,zip,county,country,match_indicator,match_type,tiger_line_id,tiger_side,state_fips,county_fips,census_tract,census_block
Dilmar Oil Property,34.435592,-79.383067,1368 State Rd S-17-39,Dillon,SC,29536,Dillon County,US,No_Match,,,,,,,
Greenwood Mill # 5,34.191765,-82.168486,225 Duncan Ave,Greenwood,SC,29646,Greenwood County,US,Match,Exact,50819038,R,45,047,970401,1012
Iva Farmers Market,34.306998,-82.663921,707 W Front St,Iva,SC,29655,Anderson County,US,Match,Non_Exact,25439191,L,45,007,011702,3067
Palmetto Petroleum,34.388242,-79.386946,1880 US Hwy 301 S,Dillon,SC,29536,Dillon County,US,No_Match,,,,,,,
Lower Pelzer Mill,34.643322,-82.454886,100 Lebby St,Pelzer,SC,29669,Anderson County,US,Match,Exact,649983478,R,45,007,010300,4030
Upper Pelzer Mill,34.653847,-82.458156,7 Stewart St,Pelzer,SC,29669,Anderson County,US,Match,Exact,25456858,R,45,007,010300,4002
Former Garage Site,34.291779,-79.863647,906 Main St,Darlington,SC,29532,Darlington County,US,Tie,,,,,,,
2628 Decker Boulevard,34.060679,-80.951903,2727 Decker Blvd,Columbia,SC,29206,Richland County,US,Match,Exact,636860002,L,45,079,011306,1000
C E Phillips Farms,33.994207,-80.046164,1160 Pleasant Grove Rd,Lynchburg,SC,29080,Sumter County,US,Match,Exact,202698517,L,45,085,000500,1011
Former McCorys Store Building,34.005558,-81.035431,1559 Main St,Columbia,SC,29201,Richland County,US,Match,Exact,71820786,L,45,079,003100,2023
Meeting Street Motors,33.990845,-81.068255,914 Meeting St,West Columbia,SC,29169,Lexington County,US,Match,Exact,70055938,R,45,063,020300,3027
1527 Gervais Street,34.002721,-81.028699,1197 Bull St,Columbia,SC,29201,Richland County,US,Match,Exact,71820854,L,45,079,003100,1042
4000 River Drive,34.027211,-81.062761,4024 US Hwy 176,Columbia,SC,29201,Richland County,US,No_Match,,,,,,,
O'Hear Ave - Noisette Creek,32.87103,-79.975421,4186 State Rd S-10-379,North Charleston,SC,29405,Charleston County,US,No_Match,,,,,,,
500 Vanboklen Street,33.883139,-80.687629,349 Vanboklen Rd,Eastover,SC,29044,Richland County,US,Match,Non_Exact,71812548,L,45,079,012000,3050
Emmanuel Church,34.09255,-80.860557,NA I 20,Columbia,SC,29223,Richland County,US,No_Match,,,,,,,
CMMC - Building 13,32.860988,-79.965333,1698 A Ave S,North Charleston,SC,29405,Charleston County,US,No_Match,,,,,,,
Express Cab Property,32.828772,-79.952269,1831 Meeting Street Rd,North Charleston,SC,29405,Charleston County,US,Match,Exact,108853823,R,45,019,004400,1035
Town of Hollywood Property,32.734547,-80.242869,6326 Highway 162,Hollywood,SC,29449,Charleston County,US,No_Match,,,,,,,
Independent Ave Site,32.87968,-79.995106,4700 Wright Ave,North Charleston,SC,29405,Charleston County,US,Match,Exact,108799434,R,45,019,003300,4016
Pete Hollis Site,34.860308,-82.406126,400 Echols St,Greenville,SC,29601,Greenville County,US,No_Match,,,,,,,
Former Shaw Industries Site,32.987408,-81.279016,108 State Rd S-3-103,Fairfax,SC,29827,Allendale County,US,No_Match,,,,,,,
1901 Reynolds Property,32.856192,-79.970526,1953 Grayson St,North Charleston,SC,29405,Charleston County,US,Match,Exact,108804683,R,45,019,004300,4001
Duggan Trust Property,32.913939,-80.040352,2467 Alston Ave,North Charleston,SC,29406,Charleston County,US,Match,Exact,108891249,L,45,019,003105,2005
Milliken Properties Area 1,34.370899,-80.062754,414 Easy St,Hartsville,SC,29550,Darlington County,US,Match,Exact,78393742,L,45,031,010600,1062
Milliken Property Area 2,34.369754,-80.064111,513 Mill Ave,Hartsville,SC,29550,Darlington County,US,Match,Exact,78393780,R,45,031,010600,1076
Milliken Property Area 3,34.372487,-80.063273,508 Jordan St,Hartsville,SC,29550,Darlington County,US,Match,Exact,78393702,R,45,031,010600,1052
Milliken Property Area 4,34.370899,-80.062754,414 Easy St,Hartsville,SC,29550,Darlington County,US,Match,Exact,78393742,L,45,031,010600,1062
Hanover Property,32.796687,-79.938067,62 Hanover St,Charleston,SC,29403,Charleston County,US,Match,Exact,108807028,R,45,019,000900,1022
Bell Buoy Seafood Site,32.492162,-80.331694,3751 Dock,Edisto Island,SC,29438,Colleton County,US,No_Match,,,,,,,
Vaucluse Landfill,33.610414,-81.805388,4907 Vaucluse Rd,Aiken,SC,29801,Aiken County,US,Match,Exact,64986135,R,45,003,020304,2032
Billy Young IGA,33.008322,-81.306163,363 S-3-98,Allendale,SC,29810,Allendale County,US,No_Match,,,,,,,
Union Mill,34.716264,-81.626285,200 N Enterprise St,Union,SC,29379,Union County,US,Match,Exact,19728326,L,45,087,030200,2003
Former Shaw Industries,32.972273,-81.275042,1111 State Hwy 47,Fairfax,SC,29827,Allendale County,US,No_Match,,,,,,,
Hall I Property,32.822857,-79.953634,NA I 26,North Charleston,SC,29405,Charleston County,US,No_Match,,,,,,,
Ashley Shores Property,32.845773,-79.991864,2821 Ashley Shores Dr,North Charleston,SC,29405,Charleston County,US,Match,Exact,605543135,L,45,019,004000,2029
Whitlock Combing Company,33.00031,-81.293315,351 Ozzie St,Allendale,SC,29810,Allendale County,US,Match,Exact,19043277,L,45,005,970201,2006
Piedmont Shirt Factory,34.876903,-82.404622,801 A Poinsett Hwy,Greenville,SC,29609,Greenville County,US,Match,Exact,38298833,L,45,045,002303,2018
Sesame Parking Lot,32.880288,-79.980144,4747 State Rd S-10-32,North Charleston,SC,29405,Charleston County,US,No_Match,,,,,,,
Former Margarine Factory,34.885356,-82.404877,1412 Poinsett Hwy,Greenville,SC,29609,Greenville County,US,Match,Exact,636713490,R,45,045,002304,2030
Harvester?s Outreach Ministries,34.876543,-82.416695,9 McCrary St,Greenville,SC,29609,Greenville County,US,Match,Exact,38298555,L,45,045,002302,1030
Former Tire Repair Facility,34.867391,-82.404211,10 Rutherford Rd,Greenville,SC,29609,Greenville County,US,Match,Exact,38333809,R,45,045,001000,1005
Monaghan Plant Parking Lot,34.866266,-82.426247,300 Smythe St,Greenville,SC,29611,Greenville County,US,Match,Exact,38299221,R,45,045,002203,3030
Former Bobbin Manufacturer,34.887727,-82.407517,4 Newland Ave,Greenville,SC,29609,Greenville County,US,Match,Exact,38298496,L,45,045,002302,2035
Hawthorne Green Housing Site,34.970994,-82.430798,120 5b Hemlock Dr,Travelers Rest,SC,29690,Greenville County,US,Match,Exact,38294598,L,45,045,003906,2003
Former Beattie Plant,34.696052,-82.229889,632 N Woods Dr,Fountain Inn,SC,29644,Greenville County,US,Match,Non_Exact,38347566,R,45,045,003101,2024
Former Poe Mill,34.858553,-82.405085,801 Buncombe St,Greenville,SC,29601,Greenville County,US,No_Match,,,,,,,
Conestee Foundation,34.770451,-82.347738,290 Conestee Rd,Greenville,SC,29605,Greenville County,US,No_Match,,,,,,,
711 W. Washington St.,34.863439,-82.417982,11 St Clair St,Greenville,SC,29601,Greenville County,US,Match,Exact,38299617,R,45,045,002303,1053
556 Perry Avenue,34.848251,-82.427789,556 06 Perry Ave,Greenville,SC,29611,Greenville County,US,No_Match,,,,,,,
46 Lois Avenue,34.848961,-82.430482,46 Lois Ave,Greenville,SC,29611,Greenville County,US,Match,Exact,38296431,R,45,045,000800,1023
Welborn Street Property,34.85052,-82.409888,320 S Hudson St,Greenville,SC,29601,Greenville County,US,No_Match,,,,,,,
1010 and 1012 Lowndes Hill Road,34.854591,-82.353082,15 Watson Aviation Rd,Greenville,SC,29607,Greenville County,US,Match,Non_Exact,38303809,L,45,045,004400,2013
1108 Cook Street,34.857958,-82.412589,1040 W Washington St,Greenville,SC,29601,Greenville County,US,Tie,,,,,,,
Cleveland Park Stables,34.840551,-82.38672,126 Woodland Way,Greenville,SC,29601,Greenville County,US,Match,Exact,38301777,R,45,045,004200,1006
Cleveland Park and City Zoo,34.846515,-82.388098,150 Cleveland Park Dr,Greenville,SC,29601,Greenville County,US,Match,Exact,640586824,L,45,045,004200,1000
538 Highway 1,34.68594,-79.897849,301 Hwy 1,Cheraw,SC,29520,Chesterfield County,US,Match,Non_Exact,604958190,L,45,025,950602,1010
Palmetto Transport Specialist LLC,34.68594,-79.897849,301 Hwy 1,Cheraw,SC,29520,Chesterfield County,US,Match,Non_Exact,604958190,L,45,025,950602,1010
Cheraw Bi-Lo,34.68995,-79.898024,4 Chesterfield Hwy,Cheraw,SC,29520,Chesterfield County,US,Match,Exact,14331479,R,45,025,950504,2026
136 Cash Road,34.686587,-79.882139,176 Cash,Cheraw,SC,29520,Chesterfield County,US,Match,Non_Exact,604888928,R,45,025,950602,1055
4821 Virginia Property,32.882059,-79.974149,4810 Virginia Ave,North Charleston,SC,29405,Charleston County,US,Match,Exact,649792680,L,45,019,003400,4043
High Point Property,32.886127,-79.973182,4936 Virginia Ave,North Charleston,SC,29405,Charleston County,US,Match,Exact,649792680,L,45,019,003400,4043
former Green Plaza,34.861528,-82.408357,17 Fludd St,Greenville,SC,29601,Greenville County,US,Match,Exact,38335687,L,45,045,000900,1005
502 Jenkins Street,34.837519,-82.414646,414 Jenkins St,Greenville,SC,29601,Greenville County,US,Match,Exact,38300397,R,45,045,000500,2007
Old DSS Building,33.005721,-81.304118,599 State Rd S-3-10,Allendale,SC,29810,Allendale County,US,No_Match,,,,,,,
Old Jail Building,33.00987,-81.304538,640 Hickory St N,Allendale,SC,29810,Allendale County,US,Match,Exact,19045622,R,45,005,970201,2033
Grendel Mill,34.197747,-82.150895,202 Pelzer St,Greenwood,SC,29649,Greenwood County,US,Match,Exact,50803941,R,45,047,970500,1030
ALLEN'S GARAGE,33.035902,-81.22211,7141 US Hwy 321,Fairfax,SC,29827,Allendale County,US,No_Match,,,,,,,
Greenville Furniture Company,34.870209,-82.405132,212 Orders St,Greenville,SC,29609,Greenville County,US,Match,Exact,38298934,R,45,045,002303,1000
5041 Durant Avenue,32.887174,-79.9786,5059 Durant Ave,North Charleston,SC,29405,Charleston County,US,Match,Exact,108799659,L,45,019,003400,4051
Former Coal Tipple Site,32.822491,-79.94536,1445 Greenleaf St,North Charleston,SC,29405,Charleston County,US,Match,Non_Exact,653326865,L,45,019,005400,2025
Tiger Pride Automotive,34.718148,-82.786294,915 W Main St,Central,SC,29630,Pickens County,US,Match,Non_Exact,26165290,R,45,077,011105,3032
VILLAGE INN,33.015613,-81.300078,NA US 301,Allendale,SC,29810,Allendale County,US,No_Match,,,,,,,
Hartness Property,34.878915,-82.405065,901 Poinsett Hwy,Greenville,SC,29609,Greenville County,US,Match,Exact,38298825,L,45,045,002303,2003
League Property,34.88717,-82.406814,606 Furman Rd,Greenville,SC,29609,Greenville County,US,Match,Exact,38298813,R,45,045,002302,2036
Barnett Property,34.871323,-82.407017,211 Conyers St,Greenville,SC,29609,Greenville County,US,Match,Exact,38298686,L,45,045,002303,2027
Henley Site,34.867391,-82.404211,10 Rutherford Rd,Greenville,SC,29609,Greenville County,US,Match,Exact,38333809,R,45,045,001000,1005
League (VACANT) Property,34.886572,-82.404963,1434 Poinsett Hwy,Greenville,SC,29609,Greenville County,US,Match,Exact,636713490,R,45,045,002304,2030
Spinning Mill Site,34.872928,-82.411462,224 Hammett St,Greenville,SC,29609,Greenville County,US,Match,Exact,38298641,R,45,045,002303,2025
Furman Hall Property,34.881736,-82.404079,135 Goldsmith Ave,Greenville,SC,29609,Greenville County,US,Match,Non_Exact,38298636,L,45,045,002303,2022
Tatham Property,34.18885,-82.166113,341 Maxwell Ave,Greenwood,SC,29646,Greenwood County,US,Match,Exact,50806069,R,45,047,970401,3022
Carriage House,34.474803,-81.88127,211 N Broad St,Clinton,SC,29325,Laurens County,US,Tie,,,,,,,
Henry's Cleaners,34.000302,-81.773557,200 W Eutaw St,Saluda,SC,29138,Saluda County,US,Tie,,,,,,,
Knight Industries Mill,33.998278,-81.771457,100 Batesburg Hwy,Saluda,SC,29138,Saluda County,US,Match,Exact,65517666,L,45,081,960202,1018
West Washington Street Property,34.857469,-82.41215,1006 W Washington St,Greenville,SC,29601,Greenville County,US,Tie,,,,,,,
Ware Street Property,34.84359,-82.41249,16 Perry Ave,Greenville,SC,29601,Greenville County,US,Match,Exact,38299880,R,45,045,000700,1025
Nichol Street Property,34.840877,-82.382697,316 Nichol St,Greenville,SC,29607,Greenville County,US,Match,Exact,38301789,L,45,045,004300,2009
"Oscar, Nassau, and Meadow St Property",34.852549,-82.408965,100 S Hudson St,Greenville,SC,29601,Greenville County,US,Tie,,,,,,,
Shirley and West Washington Street Property,34.856815,-82.411037,13 Embassy Ct,Greenville,SC,29601,Greenville County,US,Match,Exact,38365395,L,45,045,000900,1038
21 3rd St Property,34.851497,-82.429199,18 3rd St,Greenville,SC,29611,Greenville County,US,Match,Exact,640588558,R,45,045,000800,1006
Oscar and Meadow St,34.854276,-82.411664,308 Meadow St,Greenville,SC,29601,Greenville County,US,Match,Exact,647231135,R,45,045,000700,3011
City of Lake City Wastewater Site,33.875014,-79.750606,244 N Church St,Lake City,SC,29560,Florence County,US,Match,Non_Exact,28871735,L,45,041,002202,1001
Brown Park,34.688592,-79.87891,40 Tote,Cheraw,SC,29520,Chesterfield County,US,Match,Non_Exact,14343186,R,45,025,950601,1018
Bluland LLC,34.690973,-79.883816,42 Greene,Cheraw,SC,29520,Chesterfield County,US,Match,Non_Exact,14336610,R,45,025,950602,1036
McBride's Quality Cleaners,34.693162,-79.879967,63 2nd,Cheraw,SC,29520,Chesterfield County,US,Match,Non_Exact,14331323,L,45,025,950602,1014
City Park Wetlands,34.855192,-82.411932,422 Oscar St,Greenville,SC,29601,Greenville County,US,Match,Exact,647220708,R,45,045,000700,3015
Former Cheraw Recycling Center,34.692731,-79.879233,95 Acl,Cheraw,SC,29520,Chesterfield County,US,Match,Non_Exact,14331431,R,45,025,950601,1051
Pee Dee Ice & Fuel,34.697004,-79.877996,9 Church,Cheraw,SC,29520,Chesterfield County,US,Match,Non_Exact,14343171,R,45,025,950601,1006
Second and Duvall Street,34.698822,-79.8843,246 2nd,Cheraw,SC,29520,Chesterfield County,US,Match,Non_Exact,604958013,R,45,025,950602,1007
Second & Kershaw Street,34.700557,-79.885481,NA US 52,Cheraw,SC,29520,Chesterfield County,US,No_Match,,,,,,,
Chesterfield Highway Tract,34.699753,-79.934215,1048 Chesterfield Hwy,Cheraw,SC,29520,Chesterfield County,US,Match,Exact,600594664,R,45,025,950504,3043
Cheraw Community Center,34.703103,-79.887713,419 2nd,Cheraw,SC,29520,Chesterfield County,US,No_Match,,,,,,,
American House Spinning,34.717393,-82.788353,1034 W Main St,Central,SC,29630,Pickens County,US,No_Match,,,,,,,
Central Garage,34.72171,-82.784716,703 W Main St,Central,SC,29630,Pickens County,US,No_Match,,,,,,,
Riverside School,34.008457,-81.755876,417 N Bouknight Ferry Rd,Saluda,SC,29138,Saluda County,US,Match,Exact,65522874,L,45,081,960202,2032
Former Fox Theater (Nicklodeon),34.007959,-81.036491,1700 Main St,Columbia,SC,29201,Richland County,US,Match,Exact,71820657,R,45,079,003100,2016
Former Main and Taylor Shoes Site,34.007959,-81.036491,1700 Main St,Columbia,SC,29201,Richland County,US,Match,Exact,71820657,R,45,079,003100,2016
Palmetto Compress & Warehouse Building,33.993116,-81.039788,649 Greene St,Columbia,SC,29201,Richland County,US,Match,Exact,71827516,L,45,079,002900,1016
1209 Franklin Street,34.016746,-81.040416,1200 Franklin St,Columbia,SC,29201,Richland County,US,Match,Exact,649021320,R,45,079,000700,1023
1113 Lady Street & 1306 Assembly Street,34.003933,-81.034761,1166 Washington St,Columbia,SC,29201,Richland County,US,Match,Exact,71820793,R,45,079,003100,2033
601 CATAWBA STREET SITE,33.986378,-81.036936,580 Catawba St,Columbia,SC,29201,Richland County,US,Match,Exact,71827550,R,45,079,002800,1009
Central Concrete & Plaster,34.991536,-81.844788,152 Old Converse Rd,Spartanburg,SC,29307,Spartanburg County,US,Match,Exact,19513946,L,45,083,022201,2017
Central Laundromat,34.72036,-82.785726,849 W Main St,Central,SC,29630,Pickens County,US,Match,Exact,26214864,R,45,077,011105,3008
Lake City Plaza,33.877623,-79.755454,220 Kelley St,Lake City,SC,29560,Florence County,US,Match,Exact,28910645,L,45,041,002204,1001
Strickland's Dixie Cleaners,32.902126,-80.661891,421 Hampton St,Walterboro,SC,29488,Colleton County,US,Match,Exact,19156083,L,45,029,970501,1046
Coastal Lumber,32.930009,-80.689704,NA I 95,Walterboro,SC,29488,Colleton County,US,No_Match,,,,,,,
Short Stop 3,32.930009,-80.689704,NA I 95,Walterboro,SC,29488,Colleton County,US,No_Match,,,,,,,
Quality Stitching,34.037157,-81.852082,1260 Greenwood Hwy,Saluda,SC,29138,Saluda County,US,Match,Exact,65522820,R,45,081,960201,3032
116 North Church Street Property,33.871673,-79.752424,210 E Main St,Lake City,SC,29560,Florence County,US,Tie,,,,,,,
Former Rizer Ford Dealership,32.903057,-80.666093,188 N Walter St,Walterboro,SC,29488,Colleton County,US,Tie,,,,,,,
Fairfax Dimensions,32.958861,-81.237029,194 US Hwy 278,Fairfax,SC,29827,Allendale County,US,No_Match,,,,,,,
Pelzer Mill Disposal Site,34.651925,-82.460817,1 Parker St,Pelzer,SC,29669,Anderson County,US,Match,Exact,640545197,R,45,007,010300,4012
St. Gobain Property,32.842144,-80.00871,2900 Bird St,North Charleston,SC,29405,Charleston County,US,Match,Exact,108847228,L,45,019,003900,2026
Post and Courier Property II,32.79349,-79.941809,605 King St,Charleston,SC,29403,Charleston County,US,Match,Exact,108807343,L,45,019,001000,1010
Former Office Building,34.001734,-81.7716,111 E Church St,Saluda,SC,29138,Saluda County,US,Tie,,,,,,,
Saluda Market Consignments,34.001704,-81.771961,101 E Church St,Saluda,SC,29138,Saluda County,US,Tie,,,,,,,
Saluda Theatre,34.00138,-81.77117,105 Law Range St,Saluda,SC,29138,Saluda County,US,No_Match,,,,,,,
1211 Pendleton St Site,34.846533,-82.427237,1201 Pendleton St,Greenville,SC,29611,Greenville County,US,Match,Exact,38299456,L,45,045,000800,1035
Colleton County Downtown Properties,32.903333,-80.668259,31 Klein St,Walterboro,SC,29488,Colleton County,US,Match,Exact,19156089,R,45,029,970502,1012
Chester Pavilion,34.704875,-81.214153,100 State Hwy 9 Bus,Chester,SC,29706,Chester County,US,Match,Non_Exact,40564881,L,45,023,020200,3017
Republic Mill 1,34.575908,-80.902026,626 US Hwy 21,Great Falls,SC,29055,Chester County,US,No_Match,,,,,,,
Old York Road Property,34.756126,-81.196697,1150 Bedrock Dr,Chester,SC,29706,Chester County,US,Match,Exact,637742973,L,45,023,020400,2029
8547 W Washington St,34.850677,-82.399242,2 S Main St,Greenville,SC,29601,Greenville County,US,Tie,,,,,,,
"2428,-2434 Main Street and 1204 Confederate Ave",34.018823,-81.041082,1240 Confederate Ave,Columbia,SC,29201,Richland County,US,Match,Exact,71820497,R,45,079,000700,1020
Pelzer Riverfront,34.655282,-82.458052,15 Frost St,Pelzer,SC,29669,Anderson County,US,Match,Exact,649981037,R,45,007,010300,4003
Former BI-LO Shopping Center,34.245068,-80.617334,1098 Old River Rd,Camden,SC,29020,Kershaw County,US,Match,Non_Exact,648743200,L,45,055,970800,4002
Gardner Property,34.245815,-80.616764,1011 US Hwy 1,Camden,SC,29020,Kershaw County,US,No_Match,,,,,,,
Section of Old River Road,34.24556,-80.615205,1014 Wylie St,Camden,SC,29020,Kershaw County,US,Match,Exact,78481810,R,45,055,970800,4001
Great Falls Rail Trail,34.568973,-80.898142,18 Argonne Ave,Great Falls,SC,29055,Chester County,US,Match,Exact,40570928,L,45,023,021000,3003
2222 Main Street,34.014997,-81.039647,2181 US Hwy 21,Columbia,SC,29201,Richland County,US,No_Match,,,,,,,
1-15 Meadow St.,34.852508,-82.408926,100 S Hudson St,Greenville,SC,29601,Greenville County,US,Tie,,,,,,,
111 Welborn,34.852249,-82.411835,100 Welborn St,Greenville,SC,29601,Greenville County,US,Match,Exact,38335688,R,45,045,000700,3010
East North Street,34.860925,-82.371085,1732 E North St,Greenville,SC,29607,Greenville County,US,Match,Non_Exact,38303023,R,45,045,001204,1012
S. Academy at Wardlaw St.,34.8471,-82.407659,200 S Academy St,Greenville,SC,29601,Greenville County,US,Tie,,,,,,,
S. Academy at N. Calhoun,34.846328,-82.414021,143 Ware St,Greenville,SC,29601,Greenville County,US,Match,Exact,38299863,L,45,045,000700,1025
N. Pleasantburg at Laurens Rd.,34.842894,-82.362461,1500 Laurens Rd,Greenville,SC,29607,Greenville County,US,No_Match,,,,,,,
206 Scarlett St.,34.82889,-82.368926,204 Scarlett St,Greenville,SC,29607,Greenville County,US,Match,Exact,38357936,R,45,045,001900,2001
Broad St. Parking Garage,34.848583,-82.397598,300 E McBee Ave,Greenville,SC,29601,Greenville County,US,Tie,,,,,,,
Imperial Tobacco Warehouse,33.86936,-79.756198,206 S Acline St,Lake City,SC,29560,Florence County,US,Match,Non_Exact,640540282,R,45,041,002202,2012
20 Chesterfield Highway,34.68995,-79.898024,4 Chesterfield Hwy,Cheraw,SC,29520,Chesterfield County,US,Match,Exact,14331479,R,45,025,950504,2026
Janice Circle Tract,34.708778,-79.960394,108 Janice,Cheraw,SC,29520,Chesterfield County,US,Match,Non_Exact,14331112,R,45,025,950501,2030
Buffalo Mill,34.721733,-81.678331,109 Mill St,Buffalo,SC,29321,Union County,US,Match,Exact,19729140,R,45,087,030402,1008
Pie's Country Kitchen,34.593233,-81.462509,3310 Janie Glymph Goree Blvd,Carlisle,SC,29031,Union County,US,Match,Exact,19726143,R,45,087,030600,2034
4525 King Kennedy Street,34.593201,-81.468793,4508 King Kennedy St,Carlisle,SC,29031,Union County,US,Match,Exact,19726144,L,45,087,030600,2067
Former Porter Street Manufacturing Site,34.709501,-81.620199,600 S Pinckney St,Union,SC,29379,Union County,US,Tie,,,,,,,
Reedy View Drive Property,34.740116,-82.252532,125 Academy St,Simpsonville,SC,29681,Greenville County,US,Match,Exact,38313126,L,45,045,003010,1048
Former Woodside Mill Property,34.85645,-82.425062,45 N 6th St,Greenville,SC,29611,Greenville County,US,Match,Exact,38300151,L,45,045,002105,1009
Former Pickens Rail Depot,34.883802,-82.702512,111 Railroad St,Pickens,SC,29671,Pickens County,US,Match,Exact,26157825,L,45,077,010502,2018
Former Mixson Service Station,33.004986,-81.313638,NA US 301,Allendale,SC,29810,Allendale County,US,No_Match,,,,,,,
Farmer's Grain &amp; Supply Development Tract,33.096395,-81.209839,NA US 301,Ulmer,SC,29849,Allendale County,US,No_Match,,,,,,,
Town of Allendale Former Hotel,33.009072,-81.307907,NA US 278,Allendale,SC,29810,Allendale County,US,No_Match,,,,,,,
Isham's Grocery,32.961501,-81.233736,400 S-3-111,Fairfax,SC,29827,Allendale County,US,No_Match,,,,,,,
Allendale County Nursing Home,33.022757,-81.311633,2200 US Hwy 278,Allendale,SC,29810,Allendale County,US,No_Match,,,,,,,
Fairfax Community Building,32.96094,-81.240077,651 US Hwy 278,Fairfax,SC,29827,Allendale County,US,No_Match,,,,,,,
Town of Allendale Commercial Buildings,33.008404,-81.308413,NA US 278,Allendale,SC,29810,Allendale County,US,No_Match,,,,,,,
Regions Bank,33.560024,-81.719061,108 Chesterfield St S,Aiken,SC,29801,Aiken County,US,Match,Exact,65033810,L,45,003,021300,3102
Public Health Building,34.724728,-82.781946,211 Broad St,Central,SC,29630,Pickens County,US,Match,Exact,26165239,L,45,077,011101,2052
Central Roller Mill,34.723865,-82.787371,516 Madden Bridge Rd,Central,SC,29630,Pickens County,US,Match,Exact,621524790,L,45,077,011101,2057
Chiquola Mill,34.45137,-82.392412,405 Chiquola Ave,Honea Path,SC,29654,Anderson County,US,Match,Exact,25437103,L,45,007,011502,1022
Brinkley Station,33.324106,-81.781609,165 Brinkley St,Jackson,SC,29831,Aiken County,US,Match,Exact,644924427,R,45,003,022100,3037
Rock Hill Feed and Seed,34.921681,-81.013971,702 White St E,Rock Hill,SC,29730,York County,US,No_Match,,,,,,,
Springsteen Mill,34.705626,-81.207642,18 Spring St,Chester,SC,29706,Chester County,US,Match,Exact,40563648,L,45,023,020300,4026
National Fence Site,34.934582,-81.034602,186 Lee St N,Rock Hill,SC,29732,York County,US,No_Match,,,,,,,
RiverPlace Phase III,34.847237,-82.403559,235 Riverplace,Greenville,SC,29601,Greenville County,US,Match,Exact,627757937,L,45,045,000200,2008
Warren Plant,33.567896,-81.807141,86 State Hwy 191,Graniteville,SC,29829,Aiken County,US,No_Match,,,,,,,
Red Barn Property,33.569977,-81.807402,108 Ascauga Lake Rd,Graniteville,SC,29829,Aiken County,US,Match,Exact,65028082,L,45,003,020401,2043
Anderson University,34.506565,-82.624245,514 Williamston Rd,Anderson,SC,29621,Anderson County,US,Match,Exact,25454608,R,45,007,012300,2023
United Housing ConnectionsSite,34.877298,-82.413439,15 Neely St,Greenville,SC,29609,Greenville County,US,Match,Exact,636713497,L,45,045,002302,1032
109 West Stone Avenue,34.861507,-82.396539,103 W Stone Ave,Greenville,SC,29609,Greenville County,US,Tie,,,,,,,
The Station @ Five Points,34.005381,-81.020456,1100 Laurens St,Columbia,SC,29204,Richland County,US,Match,Exact,71821629,R,45,079,003100,1045
Former Gettys Middle School,34.831371,-82.58255,1212 E Main St,Easley,SC,29640,Pickens County,US,Match,Non_Exact,26196088,R,45,077,010804,1010
139 West Main Street Property,34.883698,-82.70828,110 W Main St,Pickens,SC,29671,Pickens County,US,Tie,,,,,,,
Former Springs Industries Mill,34.548383,-80.580352,103 S Hart St,Kershaw,SC,29067,Lancaster County,US,Tie,,,,,,,
219 Hampton Street,34.924267,-81.027396,210 Hampton St,Rock Hill,SC,29730,York County,US,Match,Exact,19791636,R,45,091,060501,2029
215 Hampton Street,34.924267,-81.027396,210 Hampton St,Rock Hill,SC,29730,York County,US,Match,Exact,19791636,R,45,091,060501,2029
Raille Street Properties,34.998745,-81.237243,3 Charlotte St,York,SC,29745,York County,US,Match,Exact,19781898,L,45,091,061602,2013
NE Main Street at N A Street,34.831135,-82.601798,201 NE Main St,Easley,SC,29640,Pickens County,US,Tie,,,,,,,
Council on Aging,33.566072,-81.730018,825 Barnwell Ave NW,Aiken,SC,29801,Aiken County,US,Match,Exact,636583383,R,45,003,021401,1067
Birt Properties,32.867028,-79.988205,1911 Cornwell Ave,North Charleston,SC,29405,Charleston County,US,Match,Exact,108893630,L,45,019,003700,1001
Greenway - N. Pleasantburg Dr. to Millennium Blvd,34.81393,-82.324955,2 Research Dr,Greenville,SC,29607,Greenville County,US,Match,Exact,627757912,R,45,045,002811,2057
Corner of Haywood and Halton Rds.,34.836736,-82.345827,117 A Haywood Rd,Greenville,SC,29607,Greenville County,US,Match,Exact,38362588,R,45,045,001808,3009
322 Meadow St.,34.854276,-82.411664,308 Meadow St,Greenville,SC,29601,Greenville County,US,Match,Exact,647231135,R,45,045,000700,3011
Hampton Street Utility Alley,34.924693,-81.025852,212 101 Main St E,Rock Hill,SC,29730,York County,US,No_Match,,,,,,,
Poinsett Highway Site,34.920902,-82.37784,100 Paris Glen Way,Greenville,SC,29609,Greenville County,US,Match,Exact,38364438,R,45,045,002701,1052
ARG Properties,34.851846,-82.423692,41 E Main St,Greenville,SC,29611,Greenville County,US,Tie,,,,,,,
Former Commercial Printer,34.867391,-82.404211,10 Rutherford Rd,Greenville,SC,29609,Greenville County,US,Match,Exact,38333809,R,45,045,001000,1005
Greenville Goodwill,34.882381,-82.404463,1208 Poinsett Hwy,Greenville,SC,29609,Greenville County,US,Match,Exact,38298825,R,45,045,002304,2030
Aiken Landfill,33.573633,-81.698935,1000 Twilight Ln,Aiken,SC,29801,Aiken County,US,Match,Exact,640728958,R,45,003,021601,4016
Jackson Petroleum Co,33.556302,-81.708027,114 Williamsburg St SE,Aiken,SC,29801,Aiken County,US,Match,Exact,64992191,L,45,003,021401,2137
