property_name,latitude,longitude,address,city,state,zip,county,country,match_indicator,match_type,tiger_line_id,tiger_side,state_fips,county_fips,census_tract,census_block
Rohde Shop-Rite,32.893609,-80.663201,800 Proctor St,Walterboro,SC,29488,Colleton County,US,Match,Exact,19156328,L,45,029,970502,1044
Bobby Jones Grocery,34.241639,-80.60042,800 Fair St,Camden,SC,29020,Kershaw County,US,Match,Exact,78476565,R,45,055,970800,2003
Nickelpumper 233,32.631135,-80.87939,NA US 17,Yemassee,SC,29945,Jasper County,US,No_Match,,,,,,,
Garret's Service Station Property,34.506542,-82.024139,506 Church St,Laurens,SC,29360,Laurens County,US,Match,Exact,630102146,R,45,059,920400,1006
Carolina Milling Property,34.498343,-82.014517,109 South St,Laurens,SC,29360,Laurens County,US,Match,Exact,44430827,R,45,059,920400,2026
Hall Property,34.498377,-82.01004,308 E Main St,Laurens,SC,29360,Laurens County,US,Tie,,,,,,,
Todd Property,34.499114,-82.010368,269 E Main St,Laurens,SC,29360,Laurens County,US,Tie,,,,,,,
Arkwright Mills,34.927014,-81.930345,952 S Liberty St,Spartanburg,SC,29306,Spartanburg County,US,Match,Non_Exact,19513315,L,45,083,020900,1034
Big D's Restaurant,32.812297,-79.954722,950 Rutledge Ave,Charleston,SC,29403,Charleston County,US,Match,Exact,108805937,R,45,019,001500,1003
NAPA Auto Parts Store,34.499889,-82.014526,111 E Laurens St,Laurens,SC,29360,Laurens County,US,Tie,,,,,,,
Laurens Cleaners,34.499936,-82.014048,123 E Laurens St,Laurens,SC,29360,Laurens County,US,Match,Non_Exact,44444323,R,45,059,920400,2016
Campbells Service Center,33.326921,-81.791317,230 Main St,Jackson,SC,29831,Aiken County,US,Match,Exact,64972012,L,45,003,022100,2023
Bush Recycling,34.203478,-79.76644,455 N Dargan St,Florence,SC,29506,Florence County,US,Tie,,,,,,,
Tals Quick Shop,33.468711,-79.560132,1246 N Morgan Ave,Andrews,SC,29510,Georgetown County,US,Match,Non_Exact,29002495,R,45,043,920204,1000
C H Ragsdale Grocery,34.418446,-81.400723,2112 Old Blair Rd,Blair,SC,29015,Fairfield County,US,Match,Non_Exact,40607392,L,45,039,960100,1025
Lloyd Cannadys Place,33.753754,-82.202371,10805 US Hwy 221,Parksville,SC,29844,McCormick County,US,No_Match,,,,,,,
White's Convenience Store,32.60043,-81.159255,44 Calf Pen Bay Rd,Pineland,SC,29934,Jasper County,US,Match,Exact,33161470,R,45,053,950100,2041
Schumperts Store,34.216902,-81.507274,8895 Us76,Prosperity,SC,29127,Newberry County,US,No_Match,,,,,,,
Summers Store,34.292996,-81.125878,3529 Sc State Hwy 269 Tract B,Winnsboro,SC,29180,Fairfield County,US,Match,Exact,40610571,R,45,039,960502,1015
Former Oakland Avenue Station,34.931084,-81.024386,142 A Oakland Ave,Rock Hill,SC,29730,York County,US,Match,Exact,642585756,R,45,091,060501,3014
Seminole Mill,33.497033,-81.892059,142 Belvedere Rd,Beech Island,SC,29842,Aiken County,US,Match,Exact,64987231,R,45,003,021004,1003
Republic Mill #1,34.5647,-80.891195,32 S Dearborn St,Great Falls,SC,29055,Chester County,US,Tie,,,,,,,
Former BC Components,34.050551,-81.102676,1436 St Andrews Rd,Columbia,SC,29210,Richland County,US,No_Match,,,,,,,
Cook Street Landfill (Sumter Inert),33.906426,-80.358221,627 Cook St,Sumter,SC,29150,Sumter County,US,No_Match,,,,,,,
Town Center Mall 1.8 Acre Site 3b,34.920621,-81.012292,753 White St E,Rock Hill,SC,29730,York County,US,No_Match,,,,,,,
Dick's Motor Service (NAPA Building),33.03599,-81.231766,1098 W Main St,Sycamore,SC,29846,Allendale County,US,No_Match,,,,,,,
Safety Disposal Systems Storage Properties,32.874181,-81.109175,141 Mill St,Hampton,SC,29924,Hampton County,US,Match,Exact,648313935,R,45,049,920201,1065
Columbia College Parcels A & B,34.046071,-81.03324,1300 Columbia College Dr,Columbia,SC,29203,Richland County,US,Match,Exact,638981324,R,45,079,000200,2001
Olympia 1,33.985993,-81.033259,807 Whaley St,Columbia,SC,29201,Richland County,US,Match,Exact,608831939,L,45,079,002800,1017
Olympia 2,33.985382,-81.037763,500 Denmark St,Columbia,SC,29201,Richland County,US,Match,Exact,71827552,L,45,079,002800,1009
104 Rutherford Street,34.859861,-82.404803,35 Rutherford St,Greenville,SC,29609,Greenville County,US,Match,Exact,647207782,R,45,045,000900,1015
331 South Hudson Street,34.85052,-82.409888,320 S Hudson St,Greenville,SC,29601,Greenville County,US,No_Match,,,,,,,
40 Rutherford Street,34.859152,-82.404197,36 Rutherford St,Greenville,SC,29609,Greenville County,US,Match,Exact,647226981,L,45,045,001000,2005
Rhodes Properties,34.929124,-81.029669,135 Wilson St N,Rock Hill,SC,29730,York County,US,No_Match,,,,,,,
Melton Properties,34.928349,-81.028288,127 White St W,Rock Hill,SC,29730,York County,US,No_Match,,,,,,,
Givens Property,34.928141,-81.027804,119 White St W,Rock Hill,SC,29730,York County,US,No_Match,,,,,,,
Fewell Property,34.928141,-81.027804,119 White St W,Rock Hill,SC,29730,York County,US,No_Match,,,,,,,
Drake St. Property,33.982517,-80.958554,965 Drake St,Columbia,SC,29209,Richland County,US,Match,Exact,71829521,L,45,079,011603,2002
Former SDS Medical Waste Incinerator Site,32.871226,-81.098466,100 Nix St E,Hampton,SC,29924,Hampton County,US,Match,Exact,617449575,R,45,049,920201,2015
Feed and Seed Site,34.921681,-81.013971,702 White St E,Rock Hill,SC,29730,York County,US,No_Match,,,,,,,
Oakland Ave Site,34.927037,-81.024248,214 Oakland Ave S,Rock Hill,SC,29730,York County,US,Match,Non_Exact,19791482,R,45,091,060102,3014
Randy's Auto Parts,33.326351,-81.14354,421 US Hwy 78,Denmark,SC,29042,Bamberg County,US,No_Match,,,,,,,
Republic Mill #2,34.570723,-80.89527,1 Calhoun,Great Falls,SC,29055,Chester County,US,Match,Exact,40560058,L,45,023,021000,2041
159 Welborn Street,34.853017,-82.413675,147 Welborn St,Greenville,SC,29601,Greenville County,US,Match,Exact,38335688,L,45,045,000700,3010
1006 W. Washington Street,34.857469,-82.41215,1006 W Washington St,Greenville,SC,29601,Greenville County,US,Tie,,,,,,,
Springs Parking Lot,34.928968,-81.029096,140 Wilson St N,Rock Hill,SC,29730,York County,US,No_Match,,,,,,,
Former Williams Cotton Warehouse,34.928504,-81.024645,316 Dave Lyle Blvd,Rock Hill,SC,29730,York County,US,Match,Exact,19792025,R,45,091,060200,1011
Presto Property,34.929812,-81.029333,215 White St W,Rock Hill,SC,29730,York County,US,No_Match,,,,,,,
Hilton Property,34.929451,-81.029142,203 White St W,Rock Hill,SC,29730,York County,US,No_Match,,,,,,,
Pendleton Street Property,34.005469,-81.014153,2374 Graham's Aly,Columbia,SC,29205,Richland County,US,Match,Exact,71860087,L,45,079,001300,3007
Former Wellington Leisure Products,34.83451,-81.685397,202 B St,Jonesville,SC,29353,Union County,US,Match,Exact,19719617,L,45,087,030800,3011
5112 Julius Dixon Lane,34.052056,-81.039406,5108 Shady Grove St,Columbia,SC,29203,Richland County,US,Match,Exact,71871778,R,45,079,010600,3031
Toxaway Mill,34.502065,-82.629474,1223 E Whitner St,Anderson,SC,29624,Anderson County,US,Tie,,,,,,,
Pee Dee Community Action /Casten McDaniel Property,34.201032,-79.765866,310 N Dargan St,Florence,SC,29506,Florence County,US,Tie,,,,,,,
Chicora Tank Farm Property,32.846452,-79.966047,2798 US Hwy 52,North Charleston,SC,29405,Charleston County,US,No_Match,,,,,,,
Former Greenwood Mills Foundry,34.169018,-82.143541,1810 Main St S,Greenwood,SC,29646,Greenwood County,US,Match,Exact,50805079,L,45,047,970801,3013
Former Freight Depot Property,34.190417,-82.159769,323 Main St,Greenwood,SC,29646,Greenwood County,US,Match,Exact,50811167,R,45,047,970500,3028
Bluffton Landfill,32.231077,-80.911547,25 Foxchase Ln,Bluffton,SC,29910,Beaufort County,US,Match,Exact,647859372,L,45,013,002106,1024
Wildcat Creek at Arcade Textile Mill / Parcel 2,34.925535,-81.041164,5 Blackwell St,Rock Hill,SC,29730,York County,US,Match,Exact,19797411,L,45,091,060502,1000
McAbee Property,34.986774,-81.935725,873 Iron Ore Rd,Spartanburg,SC,29303,Spartanburg County,US,Match,Exact,19466732,R,45,083,021500,1001
818 Dixie Avenue,34.051748,-81.039295,5100 Shady Grove St,Columbia,SC,29203,Richland County,US,Match,Exact,71871778,R,45,079,010600,3031
2701 Decker Boulevard Parking Lot,34.062649,-80.954168,2759 Decker Blvd,Columbia,SC,29206,Richland County,US,Match,Exact,636860002,L,45,079,011306,1000
Palmetto Properties,34.199754,-79.768113,210 N Irby St,Florence,SC,29501,Florence County,US,Tie,,,,,,,
312 N Irby Street,34.200999,-79.768246,310 N Irby St,Florence,SC,29501,Florence County,US,Tie,,,,,,,
2701 Decker Boulevard Former Red Lobster,34.062649,-80.954168,2759 Decker Blvd,Columbia,SC,29206,Richland County,US,Match,Exact,636860002,L,45,079,011306,1000
2547 Decker Boulevard Former Olive Garden,34.059708,-80.951132,2614 Decker Blvd,Columbia,SC,29206,Richland County,US,Match,Exact,71867070,R,45,079,011304,4006
106 /154 Augusta Street,34.8423,-82.406666,154 Augusta St,Greenville,SC,29601,Greenville County,US,Match,Exact,38300961,R,45,045,000700,1029
McLeod Regional Developement Center & Abdallah Property,34.197426,-79.765918,101 E Evans St,Florence,SC,29506,Florence County,US,Match,Non_Exact,651045199,L,45,041,001000,2001
Fairgrounds,34.958063,-81.953781,720 Hayne St,Spartanburg,SC,29301,Spartanburg County,US,Match,Exact,19467314,R,45,083,021700,2051
Aden Bonded Warehouse,34.95511,-81.94828,170 Arch St,Spartanburg,SC,29303,Spartanburg County,US,No_Match,,,,,,,
Spartan Grain & Mill Co.,34.941919,-81.936227,457 S Daniel Morgan Ave,Spartanburg,SC,29306,Spartanburg County,US,Match,Non_Exact,19513248,R,45,083,020800,1016
Warrenville Tract,33.511401,-81.869803,105 Duncan Rd,Graniteville,SC,29829,Aiken County,US,Match,Exact,65027987,L,45,003,021001,4037
Beaumont - Mill Tract,34.961382,-81.925335,NA US 176,Spartanburg,SC,29303,Spartanburg County,US,No_Match,,,,,,,
Graniteville Lagoons,33.594498,-81.844266,263 Holly Meadows Dr,Graniteville,SC,29829,Aiken County,US,Match,Exact,65008936,L,45,003,020401,2016
Spartan Mills,34.956186,-81.939094,400 Magnolia St,Spartanburg,SC,29303,Spartanburg County,US,No_Match,,,,,,,
SCRA Property,33.98997,-81.030416,400 State Hwy 48,Columbia,SC,29202,Richland County,US,No_Match,,,,,,,
Colite Industries,33.986151,-81.076944,1401 Augusta Rd,West Columbia,SC,29169,Lexington County,US,Match,Exact,70055333,L,45,063,020601,1008
SE Electrical / USC Catawba,33.988453,-81.035234,400 Gadsden St,Columbia,SC,29201,Richland County,US,Match,Exact,604789161,R,45,079,002800,1011
Louries Bldg,34.006659,-81.035921,1600 Main St,Columbia,SC,29201,Richland County,US,Match,Exact,71820659,R,45,079,003100,2019
Roadway Inn,34.002621,-81.034098,1300 Main St,Columbia,SC,29201,Richland County,US,Match,Exact,71820794,R,45,079,003100,2032
Bethel AME Church/Renaissance Foundation,34.005775,-81.033709,1520 Sumter St,Columbia,SC,29201,Richland County,US,Match,Exact,639496419,R,45,079,003100,2021
Lincoln St. Property,34.001077,-81.039084,1300 Lincoln St,Columbia,SC,29201,Richland County,US,Match,Exact,71820675,R,45,079,001600,1040
Boozer Lumber,33.953668,-80.958173,1498 Atlas Rd,Columbia,SC,29209,Richland County,US,Match,Exact,622658824,L,45,079,011702,2009
Wiley St. Property,33.980868,-81.011941,1882 Wiley St,Columbia,SC,29205,Richland County,US,Match,Exact,647330575,R,45,079,002602,2025
SC Ag Lab,33.996538,-81.046172,1123 Williams St,Columbia,SC,29201,Richland County,US,Match,Exact,623981772,L,45,079,002900,1020
601 Catawba Property,33.986378,-81.036936,580 Catawba St,Columbia,SC,29201,Richland County,US,Match,Exact,71827550,R,45,079,002800,1009
Gervais St. Property,33.998547,-81.037989,900 Senate St,Columbia,SC,29201,Richland County,US,No_Match,,,,,,,
Main & Taylor Shoe Store,34.007959,-81.036491,1700 Main St,Columbia,SC,29201,Richland County,US,Match,Exact,71820657,R,45,079,003100,2016
622/624 Green Avenue,34.836168,-82.413112,614 Green Ave,Greenville,SC,29601,Greenville County,US,Match,Exact,38340226,R,45,045,000500,2020
Republic Mills Site,34.566068,-80.904618,960 US Hwy 21,Great Falls,SC,29055,Chester County,US,No_Match,,,,,,,
1801 Gervais Street Property,34.004274,-81.023934,1200 Barnwell St,Columbia,SC,29201,Richland County,US,Match,Exact,636580770,R,45,079,003100,1046
Brennan Building,34.00155,-81.033648,1233 Main St,Columbia,SC,29201,Richland County,US,Match,Exact,638642383,L,45,079,003100,2038
Law Range Building,34.009287,-81.037084,1800 Main St,Columbia,SC,29201,Richland County,US,Match,Exact,71820554,R,45,079,003100,2011
Phung Property,34.927715,-81.0273,135 Dave Lyle Blvd,Rock Hill,SC,29730,York County,US,Match,Exact,638744159,L,45,091,060501,3025
Curtiss-Wright Hanger,33.978045,-81.001357,1012 Airport Blvd,Columbia,SC,29205,Richland County,US,Match,Exact,71850641,L,45,079,002602,2034
Palmetto Club,34.002057,-81.032038,1240 Sumter St,Columbia,SC,29201,Richland County,US,Match,Exact,71820829,R,45,079,003100,2040
Creason Building,34.002057,-81.032038,1240 Sumter St,Columbia,SC,29201,Richland County,US,Match,Exact,71820829,R,45,079,003100,2040
Commercial Property 805 S Main St,34.49871,-82.648819,803 S Main St,Anderson,SC,29624,Anderson County,US,Match,Non_Exact,25452782,L,45,007,000600,1024
Former Globe Service Station,34.49266,-82.649585,1301 S Murray Ave,Anderson,SC,29624,Anderson County,US,Match,Non_Exact,25452649,L,45,007,000702,2000
S Murray Avenue Properties,34.495111,-82.650381,1102 S Murray Ave,Anderson,SC,29624,Anderson County,US,Match,Non_Exact,25452641,R,45,007,000702,1026
Hoopers Auto Service,34.497504,-82.648491,915 S Main St,Anderson,SC,29624,Anderson County,US,Match,Non_Exact,25452784,L,45,007,000600,1024
Former RACO Station,33.998263,-81.043291,626 US Hwy 378,Columbia,SC,29201,Richland County,US,No_Match,,,,,,,
Taylor St. Parking Lot,34.006659,-81.035921,1600 Main St,Columbia,SC,29201,Richland County,US,Match,Exact,71820659,R,45,079,003100,2019
Randolph Trucking (Commerce Dr.) Property,33.978496,-81.00994,2000 Commerce Dr,Columbia,SC,29205,Richland County,US,Match,Exact,71828380,R,45,079,002602,2023
Libert Hill Site,32.881019,-79.995172,1571 State Rd S-10-62,North Charleston,SC,29405,Charleston County,US,No_Match,,,,,,,
